yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513E9A1H	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A2G4EYB1	A0A2G4EYB1	A0A2G4EYB1_9CYAN	unreviewed	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL cbbL CP500_015700	Tychonema bourrellyi FEM_GT703	476	GO:0000287; GO:0004497; GO:0009853; GO:0016984; GO:0019253; GO:0031470	carboxysome [GO:0031470]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]
A0A2G4EYE5	A0A2G4EYE5	A0A2G4EYE5_9CYAN	unreviewed	30S ribosomal protein S1	CP500_015965	Tychonema bourrellyi FEM_GT703	398	GO:0003676; GO:0005840	ribosome [GO:0005840]; nucleic acid binding [GO:0003676]
A0A2G4F274	A0A2G4F274	A0A2G4F274_9CYAN	unreviewed	Porin	CP500_008415	Tychonema bourrellyi FEM_GT703	711	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2G4F432	A0A2G4F432	A0A2G4F432_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CP500_004655	Tychonema bourrellyi FEM_GT703	632	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2G4F4J4	A0A2G4F4J4	A0A2G4F4J4_9CYAN	unreviewed	AbrB family transcriptional regulator	CP500_004265	Tychonema bourrellyi FEM_GT703	129	GO:0003677	DNA binding [GO:0003677]
A0A2G4HL48	A0A2G4HL48	A0A2G4HL48_9BACT	unreviewed	FAS1 domain-containing protein	CK538_00935	Opitutae bacterium	269		
A0A2G9C8H3	A0A2G9C8H3	A0A2G9C8H3_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	CS062_13070	Mitsuaria sp. HWN-4	194	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2H1JZC0	A0A2H1JZC0	A0A2H1JZC0_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES BC102111_02725	Brevibacterium casei CIP 102111	97	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2H1W1X7	A0A2H1W1X7	A0A2H1W1X7_SPOFR	unreviewed	ATP synthase subunit alpha	SFRICE_003400	Spodoptera frugiperda (Fall armyworm)	557	GO:0005524; GO:0045261; GO:0046933	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A2H3SVA7	A0A2H3SVA7	A0A2H3SVA7_FUSOX	unreviewed	2-phosphoglycerate dehydratase (EC 4.2.1.11) (Enolase)	BFJ68_g7649 BFJ69_g12358 BFJ70_g15684 BFJ71_g16229 FRV6_04314	Fusarium oxysporum (Fusarium vascular wilt)	438	GO:0000015; GO:0000287; GO:0004634; GO:0006096	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A2H5XBS4	A0A2H5XBS4	A0A2H5XBS4_9BACT	unreviewed	Immunogenic protein MPB70	HRbin17_01147	bacterium HR17	141		
A0A2H6BNE9	A0A2H6BNE9	A0A2H6BNE9_MICAE	unreviewed	Global nitrogen regulator NtcA	NIES298_13650	Microcystis aeruginosa NIES-298	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
A0A2H6LFS2	A0A2H6LFS2	A0A2H6LFS2_9NOSO	unreviewed	30S ribosomal protein S2	rpsB rps2 NCWK1_1749	Nostoc cycadae WK-1	264	GO:0003735; GO:0006412; GO:0015935	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2H6LLA3	A0A2H6LLA3	A0A2H6LLA3_9NOSO	unreviewed	Translation initiation factor IF-1	infA NCWK1_3761	Nostoc cycadae WK-1	74	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
A0A2J0SU01	A0A2J0SU01	A0A2J0SU01_STEMA	unreviewed	Fasciclin	B9Y57_11285	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	186		
A0A2K8SQP4	A0A2K8SQP4	A0A2K8SQP4_9NOSO	unreviewed	30S ribosomal protein S2	rpsB rps2 COO91_03616	Nostoc flagelliforme CCNUN1	285	GO:0003735; GO:0006412; GO:0015935	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2K8ST99	A0A2K8ST99	A0A2K8ST99_9NOSO	unreviewed	CcmK, carbon dioxide concentrating mechanism protein CcmK	COO91_04648	Nostoc flagelliforme CCNUN1	114	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A2K8SYS0	A0A2K8SYS0	A0A2K8SYS0_9NOSO	unreviewed	30S ribosomal protein S11	rpsK rps11 COO91_06613	Nostoc flagelliforme CCNUN1	110	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2K8YUS4	A0A2K8YUS4	A0A2K8YUS4_9BACT	unreviewed	Fasciclin	CWM47_05885	Spirosoma pollinicola	183		
A0A2L2N2U8	A0A2L2N2U8	A0A2L2N2U8_9NOSO	unreviewed	30S ribosomal protein S11	rpsK rps11 NPM_1352	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	131	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2L2N9M0	A0A2L2N9M0	A0A2L2N9M0_9NOSO	unreviewed	30S ribosomal protein S2	rpsB rps2 NPM_3957	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	264	GO:0003735; GO:0006412; GO:0015935	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2L2NQZ2	A0A2L2NQZ2	A0A2L2NQZ2_9NOSO	unreviewed	Superoxide dismutase (EC 1.15.1.1)	NLP_2333	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	200	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2L2NV54	A0A2L2NV54	A0A2L2NV54_9NOSO	unreviewed	Phospholipid-binding protein	NLP_4228	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	116		
A0A2M8EEW7	A0A2M8EEW7	A0A2M8EEW7_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	CO066_00150	Comamonadaceae bacterium CG_4_9_14_0_8_um_filter_60_18	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2M8KY55	A0A2M8KY55	A0A2M8KY55_9BACT	unreviewed	Elongation factor Tu (EF-Tu)	tuf COU90_00925	Candidatus Ryanbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_42	398	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2M9AEW3	A0A2M9AEW3	A0A2M9AEW3_9MICC	unreviewed	Cell division protein FtsZ	ftsZ ATK23_1470	Glutamicibacter mysorens	399	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A2M9B9T0	A0A2M9B9T0	A0A2M9B9T0_9BACT	unreviewed	Putative secreted protein (Por secretion system target)	CLV45_3042	Hymenobacter chitinivorans DSM 11115	688		
A0A2N0JJG5	A0A2N0JJG5	A0A2N0JJG5_9ACTN	unreviewed	Uncharacterized protein DUF4331	BDB15_0489	Kitasatospora sp. OK780	514	GO:0016021	integral component of membrane [GO:0016021]
A0A2N0M745	A0A2N0M745	A0A2N0M745_9CHLR	unreviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC BZY70_00115	SAR202 cluster bacterium MP-SInd-SRR3963457-G2	1393	GO:0000287; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A2N2RN45	A0A2N2RN45	A0A2N2RN45_9PROT	unreviewed	OmpA-like domain-containing protein	CVU30_04560	Betaproteobacteria bacterium HGW-Betaproteobacteria-3	222	GO:0016021	integral component of membrane [GO:0016021]
A0A2N3S715	A0A2N3S715	A0A2N3S715_9ACTN	unreviewed	Cell division protein FtsZ	ftsZ CLT71_2399	Plantactinospora sp. CNZ320	365	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A2N4X4R1	A0A2N4X4R1	A0A2N4X4R1_9SPHN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL C0V78_12090	Novosphingobium sp. TH158	547	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2N5JQS7	A0A2N5JQS7	A0A2N5JQS7_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CV045_05365	Cyanobacteria bacterium M5B4	547	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2N6JUR5	A0A2N6JUR5	A0A2N6JUR5_FISMU	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN44_28215	Fischerella muscicola CCMEE 5323	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6K2P3	A0A2N6K2P3	A0A2N6K2P3_FISMU	unreviewed	30S ribosomal protein S11	rpsK rps11 CEN44_13075	Fischerella muscicola CCMEE 5323	131	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2N6K780	A0A2N6K780	A0A2N6K780_FISMU	unreviewed	Allophycocyanin	CEN44_04650	Fischerella muscicola CCMEE 5323	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6KC78	A0A2N6KC78	A0A2N6KC78_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN50_19320	Fischerella thermalis CCMEE 5268	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6KP51	A0A2N6KP51	A0A2N6KP51_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN49_25095	Fischerella thermalis CCMEE 5273	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6L5N5	A0A2N6L5N5	A0A2N6L5N5_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN46_24150	Fischerella thermalis CCMEE 5318	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6LZN4	A0A2N6LZN4	A0A2N6LZN4_9CYAN	unreviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi CEN40_23015	Fischerella thermalis CCMEE 5205	529	GO:0004347; GO:0005737; GO:0006094; GO:0006096	cytoplasm [GO:0005737]; glucose-6-phosphate isomerase activity [GO:0004347]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
A0A2N6M0C7	A0A2N6M0C7	A0A2N6M0C7_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN40_22635	Fischerella thermalis CCMEE 5205	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6M1L6	A0A2N6M1L6	A0A2N6M1L6_9CYAN	unreviewed	Translation initiation factor IF-1	infA CEN40_21775	Fischerella thermalis CCMEE 5205	74	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
A0A2N6M8M7	A0A2N6M8M7	A0A2N6M8M7_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN41_13600	Fischerella thermalis CCMEE 5330	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2N6MHU1	A0A2N6MHU1	A0A2N6MHU1_9CYAN	unreviewed	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)	ahcY CEN40_10570	Fischerella thermalis CCMEE 5205	425	GO:0004013; GO:0005737; GO:0006730	cytoplasm [GO:0005737]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]
A0A2N6MQH6	A0A2N6MQH6	A0A2N6MQH6_9CYAN	unreviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL CEN40_06145	Fischerella thermalis CCMEE 5205	432	GO:0005737; GO:0006782; GO:0008483; GO:0030170; GO:0042286	cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; protoporphyrinogen IX biosynthetic process [GO:0006782]
A0A2N6MWV4	A0A2N6MWV4	A0A2N6MWV4_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK CEN39_16585	Fischerella thermalis CCMEE 5201	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2P8QPA6	A0A2P8QPA6	A0A2P8QPA6_9CYAN	unreviewed	Uncharacterized protein	C7Y66_16425	Chroococcidiopsis sp. CCALA 051	172		
A0A2P8VXE6	A0A2P8VXE6	A0A2P8VXE6_9CYAN	unreviewed	Chemotaxis protein (Fragment)	C7293_21005	filamentous cyanobacterium CCT1	409	GO:0004888; GO:0006935; GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]
A0A2P8VYP5	A0A2P8VYP5	A0A2P8VYP5_9CYAN	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	glpX C7293_19360	filamentous cyanobacterium CCT1	345	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
A0A2P8W6L9	A0A2P8W6L9	A0A2P8W6L9_9CYAN	unreviewed	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	fba C7293_07235	filamentous cyanobacterium CCT1	359	GO:0004332; GO:0006096; GO:0008270	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]
A0A2P8WJ42	A0A2P8WJ42	A0A2P8WJ42_9CYAN	unreviewed	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA C7271_05185	filamentous cyanobacterium CCP5	504	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A2R2WAJ1	A0A2R2WAJ1	A0A2R2WAJ1_9MICO	unreviewed	50S ribosomal protein L7/L12	rplL AS850_10750	Frondihabitans sp. 762G35	127	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2R5FX20	A0A2R5FX20	A0A2R5FX20_NOSCO	unreviewed	Microcompartment protein	NIES4072_57140	Nostoc commune NIES-4072	114	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A2S5Y2X8	A0A2S5Y2X8	A0A2S5Y2X8_RATRA	unreviewed	Cell division protein FtsZ	ftsZ C5C22_02945	Rathayibacter rathayi (Corynebacterium rathayi)	388	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A2S7NPX4	A0A2S7NPX4	A0A2S7NPX4_9HELO	unreviewed	ATP synthase subunit alpha	CJF31_00001993 CJF31_00003201	Rutstroemia sp. NJR-2017a BVV2	555	GO:0005524; GO:0045261; GO:0046933	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A2T1BZC4	A0A2T1BZC4	A0A2T1BZC4_9CYAN	unreviewed	Allophycocyanin	C7B64_19295	Merismopedia glauca CCAP 1448/3	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1C048	A0A2T1C048	A0A2T1C048_9CYAN	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno C7B64_17215	Merismopedia glauca CCAP 1448/3	427	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A2T1C078	A0A2T1C078	A0A2T1C078_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK C7B64_17090	Merismopedia glauca CCAP 1448/3	635	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2T1CI03	A0A2T1CI03	A0A2T1CI03_9CYAN	unreviewed	AbrB family transcriptional regulator	C7B69_23155	filamentous cyanobacterium Phorm 46	128	GO:0003677	DNA binding [GO:0003677]
A0A2T1CXZ2	A0A2T1CXZ2	A0A2T1CXZ2_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL C7B76_20995	filamentous cyanobacterium CCP2	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2T1D2X3	A0A2T1D2X3	A0A2T1D2X3_9CYAN	unreviewed	RNA-binding protein	C7B65_25800	Phormidesmis priestleyi ULC007	97	GO:0003676	nucleic acid binding [GO:0003676]
A0A2T1D3J8	A0A2T1D3J8	A0A2T1D3J8_9CYAN	unreviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP C7B65_25490	Phormidesmis priestleyi ULC007	230	GO:0004176; GO:0004252; GO:0005737	cytoplasm [GO:0005737]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]
A0A2T1D5P1	A0A2T1D5P1	A0A2T1D5P1_9CYAN	unreviewed	HU family DNA-binding protein	C7B65_23695	Phormidesmis priestleyi ULC007	93	GO:0003677	DNA binding [GO:0003677]
A0A2T1D646	A0A2T1D646	A0A2T1D646_9CYAN	unreviewed	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC C7B65_23325	Phormidesmis priestleyi ULC007	461	GO:0009523; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0031676; GO:0045156; GO:0046872	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]
A0A2T1D683	A0A2T1D683	A0A2T1D683_9CYAN	unreviewed	Phycocyanin subunit alpha	cpcA C7B76_12505	filamentous cyanobacterium CCP2	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1D6A6	A0A2T1D6A6	A0A2T1D6A6_9CYAN	unreviewed	Phycobiliprotein ApcE	C7B65_22910	Phormidesmis priestleyi ULC007	1135	GO:0015979; GO:0016829; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; lyase activity [GO:0016829]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1D779	A0A2T1D779	A0A2T1D779_9CYAN	unreviewed	Allophycocyanin	C7B65_21995	Phormidesmis priestleyi ULC007	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1D784	A0A2T1D784	A0A2T1D784_9CYAN	unreviewed	Bicarbonate-binding protein	C7B65_21905	Phormidesmis priestleyi ULC007	450	GO:0006811	ion transport [GO:0006811]
A0A2T1D797	A0A2T1D797	A0A2T1D797_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK C7B65_21945	Phormidesmis priestleyi ULC007	638	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2T1D8C2	A0A2T1D8C2	A0A2T1D8C2_9CYAN	unreviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB C7B65_20595	Phormidesmis priestleyi ULC007	1107	GO:0003677; GO:0003899; GO:0006351; GO:0032549	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]
A0A2T1D8C5	A0A2T1D8C5	A0A2T1D8C5_9CYAN	unreviewed	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD C7B65_20580	Phormidesmis priestleyi ULC007	437	GO:0000105; GO:0004399; GO:0008270; GO:0051287	histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105]
A0A2T1D8C9	A0A2T1D8C9	A0A2T1D8C9_9CYAN	unreviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC2 C7B65_20605	Phormidesmis priestleyi ULC007	1344	GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A2T1D8J6	A0A2T1D8J6	A0A2T1D8J6_9CYAN	unreviewed	AMIN domain-containing protein	C7B65_20405	Phormidesmis priestleyi ULC007	743	GO:0009279; GO:0009306	cell outer membrane [GO:0009279]; protein secretion [GO:0009306]
A0A2T1D8S3	A0A2T1D8S3	A0A2T1D8S3_9CYAN	unreviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi C7B65_20185	Phormidesmis priestleyi ULC007	528	GO:0004347; GO:0005737; GO:0006094; GO:0006096	cytoplasm [GO:0005737]; glucose-6-phosphate isomerase activity [GO:0004347]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
A0A2T1D9D8	A0A2T1D9D8	A0A2T1D9D8_9CYAN	unreviewed	Thioredoxin	C7B65_19895	Phormidesmis priestleyi ULC007	107	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
