"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"120","tr|A0A1Z4IWW0|A0A1Z4IWW0_9CYAN",3,2271,"Bicarbonate transport bicarbonate-binding protein CmpA OS=Scytonema sp. HK-05 OX=1137095 GN=cmpA PE=4 SV=1",1137095,2,3,NA,NA,NA,NA
"121","tr|A0A1Z4JAD5|A0A1Z4JAD5_LEPBY",5,1279,"LuxR family transcriptional regulator OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_02020 PE=4 SV=1",1973484,3,4,3,NA,NA,NA
"122","tr|A0A1Z4JAX7|A0A1Z4JAX7_LEPBY",3,1142,"Two component transcriptional regulator OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_06300 PE=4 SV=1",1973484,NA,9,NA,NA,NA,NA
"123","tr|A0A1Z4JFQ4|A0A1Z4JFQ4_LEPBY",9,297,"Carbohydrate-selective porin OprB OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_23850 PE=3 SV=1",1973484,11,25,30,12,11,NA
"124","tr|A0A1Z4JH59|A0A1Z4JH59_LEPBY",3,2018,"Uncharacterized protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_29350 PE=4 SV=1",1973484,NA,5,4,NA,NA,NA
"125","tr|A0A1Z4JKR1|A0A1Z4JKR1_LEPBY",5,1330,"Rhodanese domain-containing protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_41890 PE=4 SV=1",1973484,3,NA,3,3,NA,NA
"126","tr|A0A1Z4JQA9|A0A1Z4JQA9_LEPBY",2,2756,"Nitrogen-responsive regulatory protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_57870 PE=4 SV=1",1973484,NA,2,NA,NA,NA,NA
"127","tr|A0A1Z4KJ91|A0A1Z4KJ91_ANAVA",5,1491,"Nucleoside diphosphate kinase OS=Trichormus variabilis NIES-23 OX=1973479 GN=ndk PE=3 SV=1",1973479,NA,3,2,NA,2,NA
"128","tr|A0A1Z4Q2V4|A0A1Z4Q2V4_9CYAN",3,2271,"Bicarbonate transport bicarbonate-binding protein CmpA OS=Scytonema sp. NIES-4073 OX=2005464 GN=cmpA PE=4 SV=1",2005464,2,3,NA,NA,NA,NA
"129","tr|A0A1Z4Q7A7|A0A1Z4Q7A7_9CYAN",4,1101,"Microcompartment protein OS=Scytonema sp. NIES-4073 OX=2005464 GN=NIES4073_70130 PE=3 SV=1",2005464,NA,5,3,NA,NA,NA
"130","tr|A0A1Z4QDE6|A0A1Z4QDE6_9NOST",5,1491,"Nucleoside diphosphate kinase OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=ndk PE=3 SV=1",2005457,NA,3,2,NA,2,NA
"131","tr|A0A1Z4QFX4|A0A1Z4QFX4_9NOST",3,1142,"Two component transcriptional regulator OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=NIES4074_15570 PE=4 SV=1",2005457,NA,9,NA,NA,NA,NA
"132","tr|A0A1Z4QQK5|A0A1Z4QQK5_9NOST",5,1797,"30S ribosomal protein S5 OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=rpsE PE=3 SV=1",2005457,4,2,4,NA,NA,NA
"133","tr|A0A1Z4QQL7|A0A1Z4QQL7_9NOST",4,2059,"Translation initiation factor IF-1 OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=infA PE=3 SV=1",2005457,4,4,3,NA,NA,NA
"134","tr|A0A1Z4SCH9|A0A1Z4SCH9_9NOSO",8,519,"Chaperone protein DnaK OS=Nostoc sp. NIES-4103 OX=2005458 GN=dnaK PE=2 SV=1",2005458,7,12,5,5,5,NA
"135","tr|A0A1Z4SCJ3|A0A1Z4SCJ3_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. NIES-4103 OX=2005458 GN=ndk PE=3 SV=1",2005458,NA,3,2,NA,2,NA
"136","tr|A0A1Z4SD03|A0A1Z4SD03_9NOSO",4,2059,"Translation initiation factor IF-1 OS=Nostoc sp. NIES-4103 OX=2005458 GN=infA PE=3 SV=1",2005458,4,4,3,NA,NA,NA
"137","tr|A0A1Z4SEX2|A0A1Z4SEX2_9NOSO",3,1142,"Two-component response regulator OS=Nostoc sp. NIES-4103 OX=2005458 GN=ycf27 PE=4 SV=1",2005458,NA,9,NA,NA,NA,NA
"138","tr|A0A1Z4TJZ6|A0A1Z4TJZ6_9CYAN",4,1101,"Microcompartment protein OS=Fischerella sp. NIES-4106 OX=2005456 GN=NIES4106_20460 PE=3 SV=1",2005456,NA,5,3,NA,NA,NA
"139","tr|A0A1Z4V5A8|A0A1Z4V5A8_9CYAN",4,1101,"Microcompartment protein OS=Dolichospermum compactum NIES-806 OX=1973481 GN=NIES806_27420 PE=3 SV=1",1973481,NA,5,3,NA,NA,NA
"140","tr|A0A1Z4VDC4|A0A1Z4VDC4_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Raphidiopsis curvata NIES-932 OX=1973482 GN=infA PE=3 SV=1",1973482,4,4,3,NA,NA,NA
"141","tr|A0A1Z4VE81|A0A1Z4VE81_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Raphidiopsis curvata NIES-932 OX=1973482 GN=rpoC1 PE=3 SV=1",1973482,NA,6,NA,NA,NA,NA
"142","tr|A0A218Q6H0|A0A218Q6H0_9CYAN",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Nodularia sp. NIES-3585 OX=1973477 GN=kdpB PE=3 SV=1",1973477,NA,2,3,NA,NA,NA
"143","tr|A0A218QC51|A0A218QC51_9CYAN",4,1101,"Microcompartment protein OS=Tolypothrix sp. NIES-4075 OX=2005459 GN=NIES4075_04270 PE=3 SV=1",2005459,NA,5,3,NA,NA,NA
"144","tr|A0A218QJR2|A0A218QJR2_9CYAN",4,1477,"Photosystem I reaction center subunit II OS=Tolypothrix sp. NIES-4075 OX=2005459 GN=NIES4075_30040 PE=3 SV=1",2005459,3,NA,2,NA,NA,NA
"145","tr|A0A223NUL7|A0A223NUL7_9SPHI",2,2849,"RagB/SusD family nutrient uptake outer membrane protein OS=Mucilaginibacter xinganensis OX=1234841 GN=MuYL_1661 PE=3 SV=1",1234841,NA,NA,NA,NA,3,3
"146","tr|A0A226WR03|A0A226WR03_9BURK",2,2990,"Putative erythritol ABC transporter 2  substrate-binding component OS=Caballeronia sordidicola OX=196367 GN=BSU04_36085 PE=4 SV=1",196367,3,NA,2,NA,NA,NA
"147","tr|A0A228QL57|A0A228QL57_9BURK",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Burkholderia sp. HI2761 OX=2015360 GN=rpoC PE=3 SV=1",2015360,NA,4,NA,NA,NA,NA
"148","tr|A0A235IJ65|A0A235IJ65_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. 'Peltigera membranacea cyanobiont' 210A OX=2014529 GN=ndk PE=3 SV=1",2014529,NA,3,2,NA,2,NA
"149","tr|A0A235IZ84|A0A235IZ84_9NOSO",2,2435,"Uncharacterized protein OS=Nostoc sp. 'Peltigera membranacea cyanobiont' 232 OX=2014531 GN=CDG79_19190 PE=4 SV=1",2014531,NA,4,3,NA,NA,NA
"150","tr|A0A239CSW9|A0A239CSW9_9BACT",4,1865,"Outer membrane protein OmpA OS=Granulicella rosea OX=474952 GN=SAMN05421770_10178 PE=4 SV=1",474952,2,NA,3,4,6,NA
"151","tr|A0A239CTP0|A0A239CTP0_9BACT",5,1534,"Protein CcmA  bactofilin family OS=Granulicella rosea OX=474952 GN=SAMN05421770_10197 PE=4 SV=1",474952,5,NA,2,2,9,3
"152","tr|A0A239MBW2|A0A239MBW2_9BACT",4,1381,"Cold-shock DNA-binding protein family OS=Granulicella rosea OX=474952 GN=SAMN05421770_11173 PE=4 SV=1",474952,4,NA,6,9,4,NA
"153","tr|A0A249JX72|A0A249JX72_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus limnes OX=1884634 GN=B1s21122_02010 PE=4 SV=1",1884634,2,NA,NA,6,5,6
"154","tr|A0A249K8F8|A0A249K8F8_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus hibericus OX=1884915 GN=B1s21160_01720 PE=4 SV=1",1884915,2,NA,NA,6,5,6
"155","tr|A0A249L3H4|A0A249L3H4_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus abundans OX=1884916 GN=B1sIIB91_01690 PE=4 SV=1",1884916,2,NA,NA,6,5,6
"156","tr|A0A251WLK8|A0A251WLK8_9CYAN",3,2299,"Transporter OS=Alkalinema sp. CACIAM 70d OX=1934309 GN=B0A82_01660 PE=4 SV=1",1934309,5,3,3,NA,NA,NA
"157","tr|A0A252D026|A0A252D026_9NOSO",3,2283,"NADP-dependent oxidoreductase OS=Nostoc sp. T09 OX=1932621 GN=BV372_32310 PE=4 SV=1",1932621,2,6,3,NA,NA,NA
"158","tr|A0A258H8D1|A0A258H8D1_9SPHN",3,1876,"Nex18 symbiotically induced protein OS=Sphingomonas sp. 32-66-10 OX=1970437 GN=B7Y97_00160 PE=4 SV=1",1970437,7,4,3,NA,NA,NA
"159","tr|A0A259MK25|A0A259MK25_9PROT",8,429,"Fasciclin OS=Rhodospirillales bacterium 39-66-50 OX=1970570 GN=B7X63_15405 PE=4 SV=1",1970570,16,8,18,9,11,7
"160","tr|A0A261KV94|A0A261KV94_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Hydrocoleum sp. CS-953 OX=1671698 GN=infA PE=3 SV=1",1671698,4,4,3,NA,NA,NA
"161","tr|A0A290SDP7|A0A290SDP7_9GAMM",2,2461,"FAS1 domain-containing protein OS=Pseudoalteromonas issachenkonii OX=152297 GN=PISS_a1869 PE=4 SV=1",152297,2,NA,5,NA,NA,NA
"162","tr|A0A290TG38|A0A290TG38_9GAMM",2,2461,"FAS1 domain-containing protein OS=Pseudoalteromonas tetraodonis OX=43659 GN=PTET_a1935 PE=4 SV=1",43659,2,NA,5,NA,NA,NA
"163","tr|A0A2A2TMF8|A0A2A2TMF8_9CYAN",2,2435,"Uncharacterized protein OS=Calothrix elsteri CCALA 953 OX=987040 GN=CK510_06625 PE=4 SV=1",987040,NA,4,3,NA,NA,NA
"164","tr|A0A2A2TPX3|A0A2A2TPX3_9CYAN",7,842,"Fasciclin OS=Calothrix elsteri CCALA 953 OX=987040 GN=CK510_01420 PE=4 SV=1",987040,6,4,7,5,3,NA
"165","tr|A0A2E0L0L3|A0A2E0L0L3_9CHLR",4,1260,"60 kDa chaperonin OS=Anaerolineaceae bacterium OX=2024896 GN=groL PE=3 SV=1",2024896,3,17,NA,NA,NA,2
"166","tr|A0A2E2M2R3|A0A2E2M2R3_PSEAS",2,2461,"Fasciclin OS=Pseudoalteromonas sp. OX=53249 GN=CMK69_15800 PE=4 SV=1",53249,2,NA,5,NA,NA,NA
"167","tr|A0A2E9T7D9|A0A2E9T7D9_9FLAO",2,2630,"Uncharacterized protein OS=Flavobacteriales bacterium OX=2021391 GN=CMD29_03265 PE=4 SV=1",2021391,NA,NA,NA,NA,4,3
"168","tr|A0A2G1LXE8|A0A2G1LXE8_9SPHN",3,2608,"TonB-dependent receptor OS=Sphingobium sp. IP1 OX=2021637 GN=CG471_03130 PE=3 SV=1",2021637,NA,NA,NA,2,3,3
"169","tr|A0A2G2EE68|A0A2G2EE68_COLSX",2,2461,"Fasciclin OS=Colwellia sp. OX=56799 GN=COA35_25890 PE=4 SV=1",56799,2,NA,5,NA,NA,NA
"170","tr|A0A2G4EV59|A0A2G4EV59_9CYAN",7,794,"Beta-Ig-H3/fasciclin OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_021865 PE=4 SV=1",2040638,11,8,9,3,2,NA
"171","tr|A0A2G4EYB1|A0A2G4EYB1_9CYAN",8,660,"Ribulose bisphosphate carboxylase large chain OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=rbcL PE=3 SV=1",2040638,3,2,NA,3,NA,NA
"172","tr|A0A2G4EYE5|A0A2G4EYE5_9CYAN",8,582,"30S ribosomal protein S1 OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_015965 PE=4 SV=1",2040638,NA,3,5,3,3,NA
"173","tr|A0A2G4F274|A0A2G4F274_9CYAN",9,430,"Porin OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_008415 PE=3 SV=1",2040638,9,8,13,8,7,NA
"174","tr|A0A2G4F432|A0A2G4F432_9CYAN",8,413,"Chaperone protein DnaK OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=dnaK PE=2 SV=1",2040638,4,14,3,3,8,NA
"175","tr|A0A2H5EYT0|A0A2H5EYT0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Paracoccus zhejiangensis OX=1077935 GN=rpsS PE=3 SV=1",1077935,5,NA,14,NA,NA,NA
"176","tr|A0A2H5XBS4|A0A2H5XBS4_9BACT",7,1424,"Immunogenic protein MPB70 OS=bacterium HR17 OX=2035412 GN=HRbin17_01147 PE=4 SV=1",2035412,8,2,4,NA,2,NA
"177","tr|A0A2H6BNE9|A0A2H6BNE9_MICAE",2,2756,"Global nitrogen regulator NtcA OS=Microcystis aeruginosa NIES-298 OX=449468 GN=NIES298_13650 PE=4 SV=1",449468,NA,2,NA,NA,NA,NA
"178","tr|A0A2H6LLA3|A0A2H6LLA3_9NOSO",4,2059,"Translation initiation factor IF-1 OS=Nostoc cycadae WK-1 OX=1861711 GN=infA PE=3 SV=1",1861711,4,4,3,NA,NA,NA
"179","tr|A0A2K8ST99|A0A2K8ST99_9NOSO",4,1101,"CcmK  carbon dioxide concentrating mechanism protein CcmK OS=Nostoc flagelliforme CCNUN1 OX=2038116 GN=COO91_04648 PE=3 SV=1",2038116,NA,5,3,NA,NA,NA
"180","tr|A0A2N6M1L6|A0A2N6M1L6_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Fischerella thermalis CCMEE 5205 OX=2019671 GN=infA PE=3 SV=1",2019671,4,4,3,NA,NA,NA
"181","tr|A0A2P2CBG7|A0A2P2CBG7_9ZZZZ",2,2341,"10kDa chaperonin OS=metagenome OX=256318 GN=groS PE=3 SV=1",256318,NA,NA,NA,4,6,NA
"182","tr|A0A2R5FX20|A0A2R5FX20_NOSCO",4,1101,"Microcompartment protein OS=Nostoc commune NIES-4072 OX=2005467 GN=NIES4072_57140 PE=3 SV=1",2005467,NA,5,3,NA,NA,NA
"183","tr|A0A2S3ZGR0|A0A2S3ZGR0_9MICO",2,3004,"Integration host factor OS=Cryobacterium zongtaii OX=1259217 GN=C3B59_10610 PE=3 SV=1",1259217,NA,NA,3,NA,2,NA
"184","tr|A0A2S6NGX4|A0A2S6NGX4_9RHIZ",2,1604,"30S ribosomal protein S19 OS=Rhodoblastus sphagnicola OX=333368 GN=rpsS PE=3 SV=1",333368,5,NA,14,NA,NA,NA
"185","tr|A0A2T1D2X3|A0A2T1D2X3_9CYAN",8,340,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_25800 PE=4 SV=1",1920490,21,14,23,12,9,NA
"186","tr|A0A2T1D3J8|A0A2T1D3J8_9CYAN",3,1596,"ATP-dependent Clp protease proteolytic subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpP PE=3 SV=1",1920490,NA,11,5,NA,NA,NA
"187","tr|A0A2T1D3W8|A0A2T1D3W8_9CYAN",5,352,"Phosphodiesterase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_25075 PE=4 SV=1",1920490,28,18,29,12,5,NA
"188","tr|A0A2T1D3X4|A0A2T1D3X4_9CYAN",4,1019,"HU family DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24965 PE=3 SV=1",1920490,6,7,14,NA,3,NA
"189","tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN",5,180,"Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1",1920490,37,24,57,28,10,NA
"190","tr|A0A2T1D5P1|A0A2T1D5P1_9CYAN",6,445,"HU family DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23695 PE=3 SV=1",1920490,10,15,20,10,12,NA
"191","tr|A0A2T1D5T1|A0A2T1D5T1_9CYAN",4,1484,"Transketolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=tkt PE=3 SV=1",1920490,5,9,3,NA,3,NA
"192","tr|A0A2T1D5Y9|A0A2T1D5Y9_9CYAN",3,2395,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23040 PE=4 SV=1",1920490,NA,3,3,3,NA,NA
"193","tr|A0A2T1D614|A0A2T1D614_9CYAN",3,1784,"N-acetylmuramoyl-L-alanine amidase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23085 PE=4 SV=1",1920490,5,NA,7,3,NA,NA
"194","tr|A0A2T1D646|A0A2T1D646_9CYAN",6,1054,"Photosystem II CP43 reaction center protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psbC PE=3 SV=1",1920490,NA,7,3,2,2,NA
"195","tr|A0A2T1D6A6|A0A2T1D6A6_9CYAN",7,674,"Phycobiliprotein ApcE OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22910 PE=3 SV=1",1920490,8,10,11,6,2,NA
"196","tr|A0A2T1D6C1|A0A2T1D6C1_9CYAN",5,446,"UPF0367 protein C7B65_22880 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22880 PE=3 SV=1",1920490,23,9,20,9,9,NA
"197","tr|A0A2T1D6L3|A0A2T1D6L3_9CYAN",4,1736,"Zn-dependent hydrolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22635 PE=4 SV=1",1920490,4,3,9,NA,2,NA
"198","tr|A0A2T1D6P2|A0A2T1D6P2_9CYAN",3,2292,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22405 PE=4 SV=1",1920490,4,4,2,NA,NA,NA
"199","tr|A0A2T1D781|A0A2T1D781_9CYAN",2,1757,"6-phosphogluconate dehydrogenase  decarboxylating OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22025 PE=3 SV=1",1920490,NA,11,4,NA,NA,NA
"200","tr|A0A2T1D784|A0A2T1D784_9CYAN",5,784,"Bicarbonate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21905 PE=3 SV=1",1920490,4,4,4,NA,NA,NA
"201","tr|A0A2T1D797|A0A2T1D797_9CYAN",9,284,"Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1",1920490,25,29,20,18,5,NA
"202","tr|A0A2T1D7A7|A0A2T1D7A7_9CYAN",3,2331,"Peptidase_C39_2 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21795 PE=4 SV=1",1920490,2,5,4,NA,NA,NA
"203","tr|A0A2T1D7J4|A0A2T1D7J4_9CYAN",4,994,"Peptidyl-prolyl cis-trans isomerase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21625 PE=3 SV=1",1920490,7,12,8,5,NA,NA
"204","tr|A0A2T1D8C5|A0A2T1D8C5_9CYAN",4,2185,"Histidinol dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=hisD PE=3 SV=1",1920490,NA,2,2,NA,NA,NA
"205","tr|A0A2T1D8J6|A0A2T1D8J6_9CYAN",7,262,"AMIN domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20405 PE=3 SV=1",1920490,26,16,43,12,20,NA
"206","tr|A0A2T1D8Q9|A0A2T1D8Q9_9CYAN",5,919,"DUF1565 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20390 PE=4 SV=1",1920490,9,4,13,7,2,NA
"207","tr|A0A2T1D8R8|A0A2T1D8R8_9CYAN",2,2820,"Putative selenate ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20450 PE=3 SV=1",1920490,NA,2,3,NA,NA,NA
"208","tr|A0A2T1D977|A0A2T1D977_9CYAN",3,822,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19820 PE=4 SV=1",1920490,11,9,17,NA,NA,NA
"209","tr|A0A2T1D9F0|A0A2T1D9F0_9CYAN",2,2567,"Cell envelope biogenesis protein OmpA OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19815 PE=4 SV=1",1920490,3,NA,4,NA,NA,NA
"210","tr|A0A2T1D9K3|A0A2T1D9K3_9CYAN",3,1987,"BMP family ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19635 PE=4 SV=1",1920490,4,7,2,NA,NA,NA
"211","tr|A0A2T1DA47|A0A2T1DA47_9CYAN",5,651,"ATP-dependent Clp protease proteolytic subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpP PE=3 SV=1",1920490,3,14,17,NA,5,NA
"212","tr|A0A2T1DAM9|A0A2T1DAM9_9CYAN",9,634,"Urea ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=urtA PE=4 SV=1",1920490,2,13,10,2,4,NA
"213","tr|A0A2T1DAQ6|A0A2T1DAQ6_9CYAN",4,1324,"Carbon dioxide concentrating mechanism protein CcmL OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_18050 PE=4 SV=1",1920490,7,5,6,6,NA,NA
"214","tr|A0A2T1DAS5|A0A2T1DAS5_9CYAN",2,2863,"Ribose-5-phosphate isomerase A OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpiA PE=3 SV=1",1920490,NA,2,3,NA,NA,NA
"215","tr|A0A2T1DAY7|A0A2T1DAY7_9CYAN",2,2614,"Carbon dioxide concentrating mechanism protein CcmM OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_18055 PE=3 SV=1",1920490,NA,5,2,NA,NA,NA
"216","tr|A0A2T1DB89|A0A2T1DB89_9CYAN",4,1923,"Nucleoid-associated protein C7B65_17660 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_17660 PE=3 SV=1",1920490,2,NA,2,6,NA,NA
"217","tr|A0A2T1DBW2|A0A2T1DBW2_9CYAN",7,347,"DUF4331 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_17070 PE=4 SV=1",1920490,28,21,21,6,8,NA
"218","tr|A0A2T1DC81|A0A2T1DC81_9CYAN",4,809,"Rhodanese-like domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16460 PE=4 SV=1",1920490,9,6,15,9,NA,NA
"219","tr|A0A2T1DC92|A0A2T1DC92_9CYAN",7,706,"Cytochrome c-550 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psbV PE=3 SV=1",1920490,15,6,12,6,3,NA
"220","tr|A0A2T1DCE2|A0A2T1DCE2_9CYAN",9,249,"Porin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16480 PE=3 SV=1",1920490,16,23,30,15,18,NA
"221","tr|A0A2T1DCM7|A0A2T1DCM7_9CYAN",3,1414,"Photosystem reaction center subunit H OS=filamentous cyanobacterium CCP2 OX=2107700 GN=C7B76_08510 PE=4 SV=1",2107700,3,NA,NA,NA,NA,NA
"222","tr|A0A2T1DCQ2|A0A2T1DCQ2_9CYAN",4,1174,"DUF1565 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16270 PE=4 SV=1",1920490,5,7,11,NA,3,NA
"223","tr|A0A2T1DCQ5|A0A2T1DCQ5_9CYAN",3,2018,"DUF1257 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16155 PE=4 SV=1",1920490,NA,5,4,NA,NA,NA
"224","tr|A0A2T1DCX1|A0A2T1DCX1_9CYAN",2,1909,"Probable phosphoketolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15685 PE=3 SV=1",1920490,2,11,NA,NA,NA,NA
"225","tr|A0A2T1DCX7|A0A2T1DCX7_9CYAN",5,680,"TolC family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15565 PE=3 SV=1",1920490,12,5,19,5,6,NA
"226","tr|A0A2T1DD05|A0A2T1DD05_9CYAN",9,42,"S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1",1920490,54,85,91,11,24,NA
"227","tr|A0A2T1DD61|A0A2T1DD61_9CYAN",7,318,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15320 PE=4 SV=1",1920490,23,25,25,16,11,NA
"228","tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN",7,678,"Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1",1920490,3,19,11,4,5,NA
"229","tr|A0A2T1DDJ6|A0A2T1DDJ6_9CYAN",3,1374,"DUF3769 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_14635 PE=4 SV=1",1920490,5,8,11,NA,NA,NA
"230","tr|A0A2T1DE63|A0A2T1DE63_9CYAN",3,2480,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_14370 PE=4 SV=1",1920490,2,5,2,NA,NA,NA
"231","tr|A0A2T1DEF8|A0A2T1DEF8_9CYAN",5,1099,"Histidine kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_13930 PE=4 SV=1",1920490,7,6,5,3,7,NA
"232","tr|A0A2T1DEW5|A0A2T1DEW5_9CYAN",5,1270,"Glutathione S-transferase family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_13455 PE=4 SV=1",1920490,NA,10,7,2,NA,NA
"233","tr|A0A2T1DF44|A0A2T1DF44_9CYAN",3,2289,"Phosphoribulokinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12485 PE=3 SV=1",1920490,NA,3,NA,NA,NA,NA
"234","tr|A0A2T1DF81|A0A2T1DF81_9CYAN",3,1812,"Tetratricopeptide repeat protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12600 PE=4 SV=1",1920490,6,NA,4,4,NA,NA
"235","tr|A0A2T1DF88|A0A2T1DF88_9CYAN",4,1699,"Elongation factor Ts OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=tsf PE=3 SV=1",1920490,2,7,4,4,NA,NA
"236","tr|A0A2T1DFB1|A0A2T1DFB1_9CYAN",5,380,"Fasciclin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12740 PE=4 SV=1",1920490,24,16,26,13,6,NA
"237","tr|A0A2T1DFI9|A0A2T1DFI9_9CYAN",3,2311,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11950 PE=4 SV=1",1920490,4,NA,3,NA,2,NA
"238","tr|A0A2T1DFJ0|A0A2T1DFJ0_9CYAN",4,1945,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11645 PE=4 SV=1",1920490,NA,4,3,2,NA,NA
