"","Protein.Group","Accession","Description","probe_name","n_spec","codes"
"729",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","B3",2,1227077
"730",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","B4",6,1227077
"731",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","B5",6,1227077
"732",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","B6",11,1227077
"733",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","K1",0,1227077
"734",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","K2",0,1227077
"735",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","K3",0,1227077
"736",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","K4",0,1227077
"737",1275,"tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT","TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1","K5",0,1227077
"738",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B1",11,1752064
"739",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B2",10,1752064
"740",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B3",11,1752064
"741",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B4",0,1752064
"742",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B5",6,1752064
"743",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","B6",0,1752064
"744",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","K1",0,1752064
"745",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","K2",0,1752064
"746",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","K3",0,1752064
"747",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","K4",1,1752064
"748",828,"tr|A0A0S3UE72|A0A0S3UE72_9CYAN","ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1","K5",0,1752064
"749",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B1",0,1173022
"750",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B2",2,1173022
"751",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B3",0,1173022
"752",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B4",0,1173022
"753",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B5",0,1173022
"754",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","B6",0,1173022
"755",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","K1",0,1173022
"756",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","K2",17,1173022
"757",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","K3",0,1173022
"758",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","K4",13,1173022
"759",1024,"tr|K9VVF0|K9VVF0_9CYAN","Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1","K5",0,1173022
"760",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B1",0,2762323
"761",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B2",0,2762323
"762",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B3",0,2762323
"763",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B4",1,2762323
"764",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B5",1,2762323
"765",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","B6",16,2762323
"766",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","K1",0,2762323
"767",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","K2",0,2762323
"768",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","K3",0,2762323
"769",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","K4",0,2762323
"770",1721,"tr|A0A7G8W1B0|A0A7G8W1B0_9BURK","Autotransporter outer membrane beta-barrel domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_02560 PE=4 SV=1","K5",0,2762323
"771",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B1",0,1173022
"772",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B2",0,1173022
"773",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B3",0,1173022
"774",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B4",0,1173022
"775",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B5",0,1173022
"776",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","B6",0,1173022
"777",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","K1",0,1173022
"778",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","K2",23,1173022
"779",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","K3",0,1173022
"780",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","K4",17,1173022
"781",811,"tr|K9W3R6|K9W3R6_9CYAN","Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4046 PE=4 SV=1","K5",0,1173022
"782",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B1",1,1173020
"783",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B2",5,1173020
"784",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B3",4,1173020
"785",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B4",0,1173020
"786",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B5",2,1173020
"787",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","B6",2,1173020
"788",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","K1",2,1173020
"789",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","K2",12,1173020
"790",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","K3",0,1173020
"791",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","K4",26,1173020
"792",550,"tr|K9UMB4|K9UMB4_CHAP6","60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1","K5",2,1173020
"793",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B1",3,1920490
"794",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B2",19,1920490
"795",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B3",11,1920490
"796",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B4",0,1920490
"797",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B5",4,1920490
"798",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","B6",5,1920490
"799",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","K1",0,1920490
"800",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","K2",3,1920490
"801",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","K3",0,1920490
"802",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","K4",2,1920490
"803",678,"tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN","Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1","K5",0,1920490
"804",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B1",3,1173022
"805",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B2",4,1173022
"806",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B3",3,1173022
"807",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B4",0,1173022
"808",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B5",1,1173022
"809",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","B6",5,1173022
"810",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","K1",0,1173022
"811",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","K2",23,1173022
"812",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","K3",11,1173022
"813",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","K4",11,1173022
"814",504,"tr|K9VXY4|K9VXY4_9CYAN","ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1","K5",0,1173022
"815",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B1",0,2107705
"816",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B2",0,2107705
"817",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B3",0,2107705
"818",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B4",0,2107705
"819",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B5",0,2107705
"820",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","B6",0,2107705
"821",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","K1",0,2107705
"822",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","K2",13,2107705
"823",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","K3",38,2107705
"824",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","K4",6,2107705
"825",539,"tr|A0A2T1F423|A0A2T1F423_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_01700 PE=3 SV=1","K5",0,2107705
"826",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B1",0,2107706
"827",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B2",0,2107706
"828",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B3",0,2107706
"829",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B4",0,2107706
"830",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B5",0,2107706
"831",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","B6",0,2107706
"832",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","K1",0,2107706
"833",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","K2",13,2107706
"834",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","K3",38,2107706
"835",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","K4",6,2107706
"836",539,"tr|A0A2T1G242|A0A2T1G242_9CYAN","Red carotenoid-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_11400 PE=3 SV=1","K5",0,2107706
"837",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B1",0,47254
"838",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B2",0,47254
"839",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B3",0,47254
"840",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B4",3,47254
"841",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B5",2,47254
"842",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","B6",2,47254
"843",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","K1",6,47254
"844",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","K2",21,47254
"845",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","K3",5,47254
"846",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","K4",19,47254
"847",513,"tr|A0A2W7B830|A0A2W7B830_9CYAN","10 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groS PE=3 SV=1","K5",2,47254
"848",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B1",0,2107692
"849",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B2",0,2107692
"850",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B3",0,2107692
"851",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B4",0,2107692
"852",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B5",0,2107692
"853",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","B6",0,2107692
"854",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","K1",24,2107692
"855",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","K2",59,2107692
"856",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","K3",6,2107692
"857",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","K4",45,2107692
"858",191,"tr|A0A2T1GIM2|A0A2T1GIM2_9CYAN","Allophycocyanin subunit beta OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=apcB PE=3 SV=1","K5",15,2107692
"859",191,"tr|K9UK33|K9UK33_CHAP6","Allophycocyanin beta subunit apoprotein OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=Cha6605_3805 PE=3 SV=1","B1",0,1173020
"860",191,"tr|K9UK33|K9UK33_CHAP6","Allophycocyanin beta subunit apoprotein OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=Cha6605_3805 PE=3 SV=1","B2",0,1173020
