yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A1H5W3D2	A0A1H5W3D2	A0A1H5W3D2_9BACT	unreviewed	TonB-linked outer membrane protein, SusC/RagA family	SAMN05444001_11028	Parabacteroides chinchillae	1131	GO:0009279	cell outer membrane [GO:0009279]
A0A1H9WZR3	A0A1H9WZR3	A0A1H9WZR3_9MICO	unreviewed	SPFH domain, Band 7 family protein	SAMN05216199_3219	Pedococcus cremeus	401	GO:0016021	integral component of membrane [GO:0016021]
A0A1J1LCQ3	A0A1J1LCQ3	A0A1J1LCQ3_9CYAN	unreviewed	DNA nickase	PL921420020	Planktothrix tepida PCC 9214	344		
A0A1J1LF23	A0A1J1LF23	A0A1J1LF23_9CYAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	PL9214290184	Planktothrix tepida PCC 9214	447	GO:0003755; GO:0005509	calcium ion binding [GO:0005509]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A1J1LT42	A0A1J1LT42	A0A1J1LT42_9CYAN	unreviewed	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	psaL PL9214650435	Planktothrix tepida PCC 9214	177	GO:0009538; GO:0015979; GO:0016021; GO:0031676	integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
A0A1J1LT69	A0A1J1LT69	A0A1J1LT69_9CYAN	unreviewed	Putative RuBisCO transcriptional regulator	rbcR PL9214720065	Planktothrix tepida PCC 9214	329	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A1L3MGU0	A0A1L3MGU0	A0A1L3MGU0_9MICO	unreviewed	PHB domain-containing protein	ASJ30_08090	Janibacter indicus	396	GO:0016020	membrane [GO:0016020]
A0A1P8UB08	A0A1P8UB08	A0A1P8UB08_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf BOH66_14305	Microbacterium aurum	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A1Q4RBS5	A0A1Q4RBS5	A0A1Q4RBS5_9CYAN	unreviewed	Molecular chaperone HtpG	NIES2101_40025	Calothrix sp. HK-06	651	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A1Q8ZAE8	A0A1Q8ZAE8	A0A1Q8ZAE8_9CYAN	unreviewed	Peroxiredoxin	BST81_17965	Leptolyngbya sp. 'hensonii'	145	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
A0A1Q9T864	A0A1Q9T864	A0A1Q9T864_9MICO	unreviewed	PHB domain-containing protein	BJF80_14095	Serinicoccus sp. CUA-874	438	GO:0016020	membrane [GO:0016020]
A0A1S1ZV35	A0A1S1ZV35	A0A1S1ZV35_9CYAN	unreviewed	DNA recombination-mediator protein A	BCV64_12945	Cylindrospermopsis raciborskii MVCC14	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A1S8FEX8	A0A1S8FEX8	A0A1S8FEX8_9BURK	unreviewed	Rick_17kDa_Anti domain-containing protein	B0B52_16460	Polaromonas sp. A23	165	GO:0019867	outer membrane [GO:0019867]
A0A1U7GU89	A0A1U7GU89	A0A1U7GU89_9CYAN	unreviewed	Phycocyanin subunit beta	NIES592_21085	Fischerella major NIES-592	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1U7HAQ7	A0A1U7HAQ7	A0A1U7HAQ7_9CHRO	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH NIES1031_22875	Chroogloeocystis siderophila 5.2 s.c.1	623	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A1U7HFK7	A0A1U7HFK7	A0A1U7HFK7_9CYAN	unreviewed	Allophycocyanin subunit beta	NIES593_12640	Hydrococcus rivularis NIES-593	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1U7HV10	A0A1U7HV10	A0A1U7HV10_9CHRO	unreviewed	Phycocyanin subunit beta	NIES1031_09065	Chroogloeocystis siderophila 5.2 s.c.1	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1U7NA35	A0A1U7NA35	A0A1U7NA35_9CYAN	unreviewed	Allophycocyanin subunit beta	BJP37_31025	Moorea bouillonii PNG	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1W2BTN6	A0A1W2BTN6	A0A1W2BTN6_9MICO	unreviewed	SPFH domain, Band 7 family protein	SAMN06296429_10912	Janibacter indicus	407	GO:0016020	membrane [GO:0016020]
A0A1Y0RGE7	A0A1Y0RGE7	A0A1Y0RGE7_9CYAN	unreviewed	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	BZZ01_05175	Nostocales cyanobacterium HT-58-2	320	GO:0015979; GO:0015995; GO:0016630	protochlorophyllide reductase activity [GO:0016630]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]
A0A1Z1MDM8	A0A1Z1MDM8	A0A1Z1MDM8_9FLOR	unreviewed	Phycocyanin beta subunit	cpcB	Bryothamnion seaforthii	172	GO:0009535; GO:0015979; GO:0018298; GO:0030089	chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z1MUJ4	A0A1Z1MUJ4	A0A1Z1MUJ4_9FLOR	unreviewed	Phycocyanin beta subunit	cpcB	Digenea simplex	172	GO:0009535; GO:0015979; GO:0018298; GO:0030089	chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4GAX3	A0A1Z4GAX3	A0A1Z4GAX3_9CYAN	unreviewed	Phycoerythrocyanin beta chain	pecB NIES21_04180	Anabaenopsis circularis NIES-21	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4GZE0	A0A1Z4GZE0	A0A1Z4GZE0_9CYAN	unreviewed	SLH domain-containing protein	NIES2100_26830	Calothrix sp. NIES-2100	597	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A1Z4I369	A0A1Z4I369	A0A1Z4I369_9NOSO	unreviewed	Uncharacterized protein	NIES2111_07960	Nostoc sp. NIES-2111	807		
A0A1Z4IV34	A0A1Z4IV34	A0A1Z4IV34_9CYAN	unreviewed	Transcriptional regulator, RbcR homolog	SAMD00079811_34660	Scytonema sp. HK-05	336	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A1Z4J4K7	A0A1Z4J4K7	A0A1Z4J4K7_9CYAN	unreviewed	Transketolase (EC 2.2.1.1)	SAMD00079811_68340	Scytonema sp. HK-05	670	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
A0A1Z4JJX2	A0A1Z4JJX2	A0A1Z4JJX2_LEPBY	unreviewed	Phycobilisome linker polypeptide	NIES2135_39160	Leptolyngbya boryana NIES-2135	250	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A1Z4K500	A0A1Z4K500	A0A1Z4K500_9CYAN	unreviewed	Phycocyanin beta subunit	cpcB1 NIES22_41390	Calothrix brevissima NIES-22	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4KAX1	A0A1Z4KAX1	A0A1Z4KAX1_9CYAN	unreviewed	SLH domain-containing protein	NIES22_62280	Calothrix brevissima NIES-22	581	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A1Z4KC15	A0A1Z4KC15	A0A1Z4KC15_9CYAN	unreviewed	Peptidase S8/S53	NIES22_66650	Calothrix brevissima NIES-22	650	GO:0004252	serine-type endopeptidase activity [GO:0004252]
A0A1Z4KZX7	A0A1Z4KZX7	A0A1Z4KZX7_NOSLI	unreviewed	Glutaredoxin family protein	NIES25_09950	Nostoc linckia NIES-25	246	GO:0009055; GO:0015035	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]
A0A1Z4LLN5	A0A1Z4LLN5	A0A1Z4LLN5_9CYAN	unreviewed	Phycocyanin alpha subunit	NIES267_16400	Calothrix parasitica NIES-267	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4LYE1	A0A1Z4LYE1	A0A1Z4LYE1_9CYAN	unreviewed	Glutathione S-transferase domain protein	NIES267_57530	Calothrix parasitica NIES-267	200	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A1Z4PYE4	A0A1Z4PYE4	A0A1Z4PYE4_9CYAN	unreviewed	Hemerythrin HHE cation binding domain protein	NIES4073_38570	Scytonema sp. NIES-4073	340		
A0A1Z4QMD2	A0A1Z4QMD2	A0A1Z4QMD2_9NOST	unreviewed	Uncharacterized protein	NIES4074_38050	Cylindrospermum sp. NIES-4074	167		
A0A1Z4QX56	A0A1Z4QX56	A0A1Z4QX56_9CYAN	unreviewed	Transketolase (EC 2.2.1.1)	NIES4101_82980	Calothrix sp. NIES-4101	670	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
A0A1Z4SA29	A0A1Z4SA29	A0A1Z4SA29_9NOSO	unreviewed	Phycobilisome linker polypeptide	NIES4103_42320	Nostoc sp. NIES-4103	253	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A1Z4SG32	A0A1Z4SG32	A0A1Z4SG32_9NOSO	unreviewed	C-phycocyanin-1 beta chain	NIES4103_63700	Nostoc sp. NIES-4103	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4TSU6	A0A1Z4TSU6	A0A1Z4TSU6_9CYAN	unreviewed	Phycocyanin beta subunit	NIES4106_48330	Fischerella sp. NIES-4106	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1Z4VBG8	A0A1Z4VBG8	A0A1Z4VBG8_9CYAN	unreviewed	Uncharacterized protein	NIES932_04180	Raphidiopsis curvata NIES-932	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A1Z4VEZ8	A0A1Z4VEZ8	A0A1Z4VEZ8_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH NIES932_16470	Raphidiopsis curvata NIES-932	516	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A1Z9DHL3	A0A1Z9DHL3	A0A1Z9DHL3_9FLAO	unreviewed	Fe-S cluster assembly ATPase SufC	CBC73_02135	Flavobacteriales bacterium TMED113	246	GO:0005524	ATP binding [GO:0005524]
A0A218Q2X8	A0A218Q2X8	A0A218Q2X8_9CYAN	unreviewed	Transcriptional regulator, RbcR homolog	NIES3585_22270	Nodularia sp. NIES-3585	337	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A218QD62	A0A218QD62	A0A218QD62_9CYAN	unreviewed	Cell shape-determining protein MreB	mreB NIES4075_07710	Tolypothrix sp. NIES-4075	347	GO:0000902; GO:0005524; GO:0005737; GO:0008360	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]
A0A235I177	A0A235I177	A0A235I177_9NOSO	unreviewed	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC CDG76_24565	Nostoc sp. 'Peltigera membranacea cyanobiont' 210A	429	GO:0005524; GO:0005978; GO:0008878	ATP binding [GO:0005524]; glucose-1-phosphate adenylyltransferase activity [GO:0008878]; glycogen biosynthetic process [GO:0005978]
A0A235IM61	A0A235IM61	A0A235IM61_9NOSO	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH CDG77_02640	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	506	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A235IR11	A0A235IR11	A0A235IR11_9NOSO	unreviewed	Uncharacterized protein	CDG79_34815	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	590	GO:0008703; GO:0009231	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; riboflavin biosynthetic process [GO:0009231]
A0A235J811	A0A235J811	A0A235J811_9NOSO	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH CDG79_02905	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	506	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A250XAZ7	A0A250XAZ7	A0A250XAZ7_9CHLO	unreviewed	Elongation factor Tu, chloroplastic	CEUSTIGMA_g7689.t1	Chlamydomonas eustigma	496	GO:0003924; GO:0005525; GO:0006412	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation [GO:0006412]
A0A251WLS1	A0A251WLS1	A0A251WLS1_9CYAN	unreviewed	Phycocyanin subunit beta	B0A82_00870	Alkalinema sp. CACIAM 70d	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A252DGI8	A0A252DGI8	A0A252DGI8_9NOSO	unreviewed	Phycocyanin subunit beta	BV372_26465	Nostoc sp. T09	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A252DTU1	A0A252DTU1	A0A252DTU1_9NOSO	unreviewed	Phycocyanin subunit beta	BV378_02765	Nostoc sp. RF31YmG	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A252DUA0	A0A252DUA0	A0A252DUA0_9NOSO	unreviewed	Phycocyanin subunit beta	BV378_02790	Nostoc sp. RF31YmG	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A252E6C1	A0A252E6C1	A0A252E6C1_9NOSO	unreviewed	Phycocyanin subunit beta	BV375_02470	Nostoc sp. 106C	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A256BGA7	A0A256BGA7	A0A256BGA7_9CYAN	unreviewed	Phycocyanin subunit beta	B9G53_09655	Pseudanabaena sp. SR411	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A258HIW2	A0A258HIW2	A0A258HIW2_9MICO	unreviewed	Cold-shock protein	B7Y93_04065	Micrococcales bacterium 32-70-13	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A258QCG9	A0A258QCG9	A0A258QCG9_9BURK	unreviewed	Elongation factor Tu (Fragment)	B7Y54_07040	Polaromonas sp. 35-63-240	344	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2A2TK42	A0A2A2TK42	A0A2A2TK42_9CYAN	unreviewed	LysR family transcriptional regulator	CK510_10915	Calothrix elsteri CCALA 953	339	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A2E3HHG6	A0A2E3HHG6	A0A2E3HHG6_9GAMM	unreviewed	Uncharacterized protein	CL550_05280	Alcanivorax sp.	484		
A0A2E3L257	A0A2E3L257	A0A2E3L257_9PROT	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno CMF67_06670	Magnetovibrio sp.	424	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A2E8G862	A0A2E8G862	A0A2E8G862_9GAMM	unreviewed	Uncharacterized protein	CL546_15770	Alcanivorax sp.	506		
A0A2E8P2A7	A0A2E8P2A7	A0A2E8P2A7_9MICO	unreviewed	Uncharacterized protein	CMF57_03045	Leifsonia sp.	244		
A0A2E8U4D6	A0A2E8U4D6	A0A2E8U4D6_9PROT	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno CMF66_07090	Magnetovibrio sp.	424	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A2E9TNM9	A0A2E9TNM9	A0A2E9TNM9_9GAMM	unreviewed	Uncharacterized protein	CL544_08550	Alcanivorax sp.	484		
A0A2G3P742	A0A2G3P742	A0A2G3P742_9CHRO	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp CSQ80_15230	Cyanobacterium aponinum IPPAS B-1201	718	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A2G4F0E3	A0A2G4F0E3	A0A2G4F0E3_9CYAN	unreviewed	Superoxide dismutase (EC 1.15.1.1)	CP500_011895	Tychonema bourrellyi FEM_GT703	200	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2G4F282	A0A2G4F282	A0A2G4F282_9CYAN	unreviewed	Bleomycin hydrolase	CP500_008440	Tychonema bourrellyi FEM_GT703	184	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2G4F618	A0A2G4F618	A0A2G4F618_9CYAN	unreviewed	50S ribosomal protein L15	rplO CP500_001730	Tychonema bourrellyi FEM_GT703	148	GO:0003735; GO:0006412; GO:0015934; GO:0019843	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2G4F675	A0A2G4F675	A0A2G4F675_9CYAN	unreviewed	Phycobiliprotein ApcE	CP500_002560	Tychonema bourrellyi FEM_GT703	922	GO:0015979; GO:0016829; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; lyase activity [GO:0016829]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2G4F680	A0A2G4F680	A0A2G4F680_9CYAN	unreviewed	Flavin reductase family protein	CP500_001045	Tychonema bourrellyi FEM_GT703	160	GO:0010181	FMN binding [GO:0010181]
A0A2G7GLP9	A0A2G7GLP9	A0A2G7GLP9_9CHRO	unreviewed	Glutathione S-transferase	CSQ79_09195	Chroococcales cyanobacterium IPPAS B-1203	200	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A2G8KRV2	A0A2G8KRV2	A0A2G8KRV2_STIJA	unreviewed	Tubulin beta chain	BSL78_12375	Stichopus japonicus (Sea cucumber)	446	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
A0A2G8RHN1	A0A2G8RHN1	A0A2G8RHN1_9RHOB	unreviewed	ABC transporter substrate-binding protein	P775_05815	Puniceibacterium antarcticum	573	GO:0022857	transmembrane transporter activity [GO:0022857]
A0A2H2XSC0	A0A2H2XSC0	A0A2H2XSC0_9CYAN	unreviewed	ATPase domain-containing protein	NIES4071_67710	Calothrix sp. NIES-4071	651	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2H6BXJ9	A0A2H6BXJ9	A0A2H6BXJ9_MICAE	unreviewed	Phycocyanin subunit beta	NIES298_30010	Microcystis aeruginosa NIES-298	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2H6LBJ0	A0A2H6LBJ0	A0A2H6LBJ0_9NOSO	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH NCWK1_0312	Nostoc cycadae WK-1	506	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A2H6LGR0	A0A2H6LGR0	A0A2H6LGR0_9NOSO	unreviewed	Phycobilisome protein	NCWK1_2091	Nostoc cycadae WK-1	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2H6LR07	A0A2H6LR07	A0A2H6LR07_9NOSO	unreviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC NCWK1_5437	Nostoc cycadae WK-1	315	GO:0005524; GO:0031676; GO:0045261; GO:0046933	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A2I1I622	A0A2I1I622	A0A2I1I622_9ACTO	unreviewed	PHB domain-containing protein	CYJ25_03365	Schaalia turicensis	292	GO:0016020	membrane [GO:0016020]
A0A2I1LLD1	A0A2I1LLD1	A0A2I1LLD1_9MICO	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CYJ49_03865	Dermabacter hominis	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2I8AB37	A0A2I8AB37	A0A2I8AB37_9NOSO	unreviewed	Phycocyanin subunit beta	CLI64_20485	Nostoc sp. CENA543	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2K8STE3	A0A2K8STE3	A0A2K8STE3_9NOSO	unreviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK COO91_04662	Nostoc flagelliforme CCNUN1	424	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
A0A2L2NES9	A0A2L2NES9	A0A2L2NES9_9NOSO	unreviewed	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC NPM_5805	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	429	GO:0005524; GO:0005978; GO:0008878	ATP binding [GO:0005524]; glucose-1-phosphate adenylyltransferase activity [GO:0008878]; glycogen biosynthetic process [GO:0005978]
