yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A1G7I429	A0A1G7I429	A0A1G7I429_9BURK	unreviewed	Iron complex outermembrane recepter protein	SAMN05428966_112164	Massilia sp. PDC64	954	GO:0009279	cell outer membrane [GO:0009279]
A0A1G7WKA1	A0A1G7WKA1	A0A1G7WKA1_9BURK	unreviewed	Uncharacterized protein	SAMN05428968_0538	Janthinobacterium sp. YR213	499		
A0A1G8QNC9	A0A1G8QNC9	A0A1G8QNC9_9FIRM	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD SAMN04487760_10289	Lachnospiraceae bacterium G41	465	GO:0005524; GO:0005886; GO:0045261; GO:0046933; GO:0046961	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A1G8SBC7	A0A1G8SBC7	A0A1G8SBC7_9ACTN	unreviewed	40-residue YVTN family beta-propeller repeat-containing protein	SAMN05444157_2538	Frankineae bacterium MT45	944	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A1H0IR06	A0A1H0IR06	A0A1H0IR06_9RHOB	unreviewed	30S ribosomal protein S19	rpsS SAMN04488512_102143	Sulfitobacter litoralis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1H0WUC7	A0A1H0WUC7	A0A1H0WUC7_9SPHI	unreviewed	OmpA-OmpF porin, OOP family	SAMN05428975_3912	Mucilaginibacter sp. OK268	458	GO:0005509; GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A1H2S568	A0A1H2S568	A0A1H2S568_9RHOB	unreviewed	30S ribosomal protein S19	rpsS SAMN04488041_101687	Sulfitobacter pontiacus	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1H3LR79	A0A1H3LR79	A0A1H3LR79_9ACTN	unreviewed	Uncharacterized protein	SAMN05421684_0913	Asanoa ishikariensis	555	GO:0016021	integral component of membrane [GO:0016021]
A0A1H4C942	A0A1H4C942	A0A1H4C942_9BURK	unreviewed	CHRD domain-containing protein	SAMN05444680_102946	Variovorax sp. YR216	150		
A0A1H4GU45	A0A1H4GU45	A0A1H4GU45_9SPHI	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	SAMN05443550_11178	Pedobacter hartonius	1085	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A1H4K5K6	A0A1H4K5K6	A0A1H4K5K6_9BACT	unreviewed	Threonine dehydrogenase	SAMN05443244_1020	Terriglobus roseus	385	GO:0016491	oxidoreductase activity [GO:0016491]
A0A1H6JSG8	A0A1H6JSG8	A0A1H6JSG8_9GAMM	unreviewed	Bacterial extracellular solute-binding s, 3family protein	BAZSYMA_ACONTIG00019_5	Bathymodiolus azoricus thioautotrophic gill symbiont	336		
A0A1H6KQZ0	A0A1H6KQZ0	A0A1H6KQZ0_9GAMM	unreviewed	Bacterial extracellular solute-binding s, 3family protein	BAZSYMB_SCAFFOLD00013_8	Bathymodiolus azoricus thioautotrophic gill symbiont	336		
A0A1H7DZV3	A0A1H7DZV3	A0A1H7DZV3_9BURK	unreviewed	CHRD domain-containing protein	SAMN05518853_107236	Variovorax sp. OK202	149		
A0A1I0S7E5	A0A1I0S7E5	A0A1I0S7E5_9BACT	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	SAMN04488122_4367	Chitinophaga arvensicola	1090	GO:0004180; GO:0030246	carbohydrate binding [GO:0030246]; carboxypeptidase activity [GO:0004180]
A0A1I1A6Y9	A0A1I1A6Y9	A0A1I1A6Y9_9BURK	unreviewed	Uncharacterized protein	SAMN03159300_103365	Janthinobacterium sp. 344	499		
A0A1I1M787	A0A1I1M787	A0A1I1M787_9SPHI	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	SAMN05421747_1268	Parapedobacter composti	1081	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A1I1P311	A0A1I1P311	A0A1I1P311_9BRAD	unreviewed	30S ribosomal protein S19	rpsS SAMN05428997_11679	Bosea sp. CRIB-10	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1I2GUI8	A0A1I2GUI8	A0A1I2GUI8_9SPHI	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	SAMN03003324_02896	Pedobacter antarcticus	1085	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A1I3RWB9	A0A1I3RWB9	A0A1I3RWB9_9RHOB	unreviewed	30S ribosomal protein S19	rpsS SAMN04488095_2890	Jannaschia pohangensis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1I4JCN8	A0A1I4JCN8	A0A1I4JCN8_9BRAD	unreviewed	Porin	SAMN03159423_3047	Bradyrhizobium sp. NFR13	509	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A1I5G9W8	A0A1I5G9W8	A0A1I5G9W8_9BACT	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN04488519_105278	Algoriphagus ornithinivorans	186		
A0A1I5HA03	A0A1I5HA03	A0A1I5HA03_9BURK	unreviewed	CHRD domain-containing protein	SAMN05443579_10361	Variovorax sp. PDC80	149		
A0A1I5P386	A0A1I5P386	A0A1I5P386_9BURK	unreviewed	CHRD domain-containing protein	SAMN03159339_1436	Variovorax sp. 770b2	149		
A0A1I6A7Q2	A0A1I6A7Q2	A0A1I6A7Q2_9BACT	unreviewed	TonB-linked outer membrane protein, SusC/RagA family	SAMN04515668_3395	Siccationidurans arizonensis	1081	GO:0009279	cell outer membrane [GO:0009279]
A0A1I6JFX9	A0A1I6JFX9	A0A1I6JFX9_9MICO	unreviewed	Dihydroxyacetone kinase DhaK subunit	SAMN05428970_2296	Agromyces sp. CF514	335	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1I6M3L6	A0A1I6M3L6	A0A1I6M3L6_9BACT	unreviewed	Uncharacterized protein	SAMN05421771_1767	Granulicella pectinivorans	539		
A0A1I6MDK2	A0A1I6MDK2	A0A1I6MDK2_9BACT	unreviewed	TonB-dependent Receptor Plug Domain	SAMN05421771_2368	Granulicella pectinivorans	1194		
A0A1I6MZV6	A0A1I6MZV6	A0A1I6MZV6_9BACT	unreviewed	Cold-shock DNA-binding protein family	SAMN05421771_4053	Granulicella pectinivorans	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A1I6XLN6	A0A1I6XLN6	A0A1I6XLN6_9GAMM	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN04487870_0256	Pseudoalteromonas sp. DSM 26666	166		
A0A1I7F6G7	A0A1I7F6G7	A0A1I7F6G7_9BURK	unreviewed	BON domain-containing protein	SAMN04489707_1001205	Acidovorax caeni	105		
A0A1I9XX06	A0A1I9XX06	A0A1I9XX06_9BURK	unreviewed	Uncharacterized protein	YQ44_11200	Janthinobacterium sp. 1_2014MBL_MicDiv	499		
A0A1J5QWQ0	A0A1J5QWQ0	A0A1J5QWQ0_9ZZZZ	unreviewed	Multiple sugar-binding periplasmic receptor ChvE	chvE_1 GALL_304430	mine drainage metagenome	367		
A0A1M3JT27	A0A1M3JT27	A0A1M3JT27_9BURK	unreviewed	Transporter	BGO75_07595	Burkholderiales bacterium 68-20	105		
A0A1M3MIH3	A0A1M3MIH3	A0A1M3MIH3_9RHIZ	unreviewed	Amino acid ABC transporter substrate-bindnig protein	BGP07_05205	Rhizobiales bacterium 63-22	343		
A0A1M3PFE5	A0A1M3PFE5	A0A1M3PFE5_9PROT	unreviewed	Superoxide dismutase (EC 1.15.1.1)	BGP12_18950	Rhodospirillales bacterium 70-18	199	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A1M5G668	A0A1M5G668	A0A1M5G668_9FLAO	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN05443633_10921	Chryseobacterium arachidis	189		
A0A1M6KNR7	A0A1M6KNR7	A0A1M6KNR7_9BACT	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN02745181_2163	Rubritalea squalenifaciens DSM 18772	211		
A0A1M7TLD9	A0A1M7TLD9	A0A1M7TLD9_9RHOB	unreviewed	30S ribosomal protein S19	rpsS SAMN05216200_107184	Oceanicella actignis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1N6G5Y4	A0A1N6G5Y4	A0A1N6G5Y4_9BURK	unreviewed	Monosaccharide ABC transporter substrate-binding protein, CUT2 family	SAMN05444165_0583	Paraburkholderia phenazinium	318		
A0A1N7DB13	A0A1N7DB13	A0A1N7DB13_9SPHI	unreviewed	OmpA-OmpF porin, OOP family	SAMN05421821_11120	Mucilaginibacter lappiensis	459	GO:0005509; GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A1N7K429	A0A1N7K429	A0A1N7K429_9BACT	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN05421761_101423	Belliella pelovolcani	189		
A0A1N7MP93	A0A1N7MP93	A0A1N7MP93_9RHOB	unreviewed	30S ribosomal protein S19	rpsS SAMN05421774_102847	Gemmobacter megaterium	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1P8E2M9	A0A1P8E2M9	A0A1P8E2M9_9SPHI	unreviewed	TonB-dependent receptor	BV902_07215	Sphingobacterium sp. B29	1083	GO:0030246	carbohydrate binding [GO:0030246]
A0A1Q3QNJ6	A0A1Q3QNJ6	A0A1Q3QNJ6_9BACT	unreviewed	Ysc84 domain-containing protein	BGO25_14945	Acidobacteriales bacterium 59-55	231		
A0A1Q3QQP8	A0A1Q3QQP8	A0A1Q3QQP8_9BACT	unreviewed	Uncharacterized protein	BGO25_19250	Acidobacteriales bacterium 59-55	538		
A0A1Q3QU28	A0A1Q3QU28	A0A1Q3QU28_9BACT	unreviewed	Cold-shock protein	BGO25_07570	Acidobacteriales bacterium 59-55	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A1Q4E8F9	A0A1Q4E8F9	A0A1Q4E8F9_9SPHN	unreviewed	DUF3597 domain-containing protein	BGP17_04715	Sphingomonas sp. 67-41	129		
A0A1Q4RP41	A0A1Q4RP41	A0A1Q4RP41_9CYAN	unreviewed	Uncharacterized protein	NIES2101_21565	Calothrix sp. HK-06	1530	GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]
A0A1Q4ZAD7	A0A1Q4ZAD7	A0A1Q4ZAD7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES A6A28_21420	Streptomyces sp. CB03578	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1Q5B5E7	A0A1Q5B5E7	A0A1Q5B5E7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES AMK15_08235	Streptomyces sp. MJM1172	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1Q6A5N0	A0A1Q6A5N0	A0A1Q6A5N0_9SPHI	unreviewed	OmpA-like domain-containing protein	RG47T_4804	Mucilaginibacter polytrichastri	436	GO:0005509; GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A1Q6Y8N4	A0A1Q6Y8N4	A0A1Q6Y8N4_9CHLR	unreviewed	Dihydroxyacetone kinase subunit DhaK	AUH05_16755	Ktedonobacter sp. 13_2_20CM_53_11	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1S1U8I7	A0A1S1U8I7	A0A1S1U8I7_9BURK	unreviewed	Uncharacterized protein	AKG95_12200	Janthinobacterium lividum	485		
A0A1S2GV62	A0A1S2GV62	A0A1S2GV62_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK	BIU90_08230	Curtobacterium sp. MCBA15_001	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1S6J8C7	A0A1S6J8C7	A0A1S6J8C7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES B1H29_14705	Streptomyces pactum	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1S6PVI2	A0A1S6PVI2	A0A1S6PVI2_9PHYC	unreviewed	Major capsid protein		Prymnesium parvum DNA virus BW1	525	GO:0005198; GO:0019028	viral capsid [GO:0019028]; structural molecule activity [GO:0005198]
A0A1T2BAZ0	A0A1T2BAZ0	A0A1T2BAZ0_9RHOB	unreviewed	30S ribosomal protein S19	rpsS BMI86_17105	Thioclava sp. DLFJ5-1	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1T4X3E3	A0A1T4X3E3	A0A1T4X3E3_9MICO	unreviewed	Dihydroxyacetone kinase DhaK subunit	SAMN06295879_0553	Agreia bicolorata	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1T4XPS8	A0A1T4XPS8	A0A1T4XPS8_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES SAMN06295879_1479	Agreia bicolorata	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1T5AZJ4	A0A1T5AZJ4	A0A1T5AZJ4_9FLAO	unreviewed	Uncharacterized zinc-type alcohol dehydrogenase-like protein	SAMN05660776_0998	Salegentibacter holothuriorum	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A1V9F312	A0A1V9F312	A0A1V9F312_9BACT	unreviewed	Uncharacterized protein	A4H97_24135	Niastella yeongjuensis	1116		
A0A1V9FQN8	A0A1V9FQN8	A0A1V9FQN8_9BACT	unreviewed	Uncharacterized protein	A3860_32435	Niastella vici	1081	GO:0030246	carbohydrate binding [GO:0030246]
A0A1V9KE76	A0A1V9KE76	A0A1V9KE76_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES B0675_12825	Streptomyces sp. M41(2017)	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1W1DAM2	A0A1W1DAM2	A0A1W1DAM2_9ZZZZ	unreviewed	LSU ribosomal protein L27p	MNB_SUP05-4-451	hydrothermal vent metagenome	85	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1X9LPW4	A0A1X9LPW4	A0A1X9LPW4_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK	B5808_08075	Cnuibacter physcomitrellae	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1Y2QJ72	A0A1Y2QJ72	A0A1Y2QJ72_9SPHN	unreviewed	DUF3597 domain-containing protein	CAP40_07375	Sphingomonas sp. IBVSS2	129		
A0A1Y2RIX5	A0A1Y2RIX5	A0A1Y2RIX5_9BACT	unreviewed	Hydroxyacid dehydrogenase	CAP36_08685	Chitinophagaceae bacterium IBVUCB2	348	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A1Y3LS94	A0A1Y3LS94	A0A1Y3LS94_9MICC	unreviewed	Cobalamin adenosyltransferase	B8W73_12030	Arthrobacter agilis	139	GO:0016740	transferase activity [GO:0016740]
A0A1Y6EZ28	A0A1Y6EZ28	A0A1Y6EZ28_9MICO	unreviewed	Dihydroxyacetone kinase DhaK subunit	SAMN06295943_1137	Agreia sp. VKM Ac-1783	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A1Y6FA44	A0A1Y6FA44	A0A1Y6FA44_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES SAMN06295943_2653	Agreia sp. VKM Ac-1783	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A1Z4GER6	A0A1Z4GER6	A0A1Z4GER6_9CYAN	unreviewed	Short-chain dehydrogenase/reductase SDR	NIES21_18160	Anabaenopsis circularis NIES-21	249	GO:0016491	oxidoreductase activity [GO:0016491]
A0A1Z4GYS1	A0A1Z4GYS1	A0A1Z4GYS1_9CYAN	unreviewed	50S ribosomal protein L27	rpmA rpl27 NIES2100_24740	Calothrix sp. NIES-2100	93	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1Z4IR04	A0A1Z4IR04	A0A1Z4IR04_9CYAN	unreviewed	Cell division protein SepF	sepF SAMD00079811_20030	Scytonema sp. HK-05	196	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A1Z4JI90	A0A1Z4JI90	A0A1Z4JI90_LEPBY	unreviewed	Photosystem I 16 kDa polypeptide (Photosystem I reaction center subunit II)	NIES2135_33190	Leptolyngbya boryana NIES-2135	140	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A1Z4JKR6	A0A1Z4JKR6	A0A1Z4JKR6_LEPBY	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	NIES2135_42200	Leptolyngbya boryana NIES-2135	269	GO:0003755	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A1Z4JN12	A0A1Z4JN12	A0A1Z4JN12_LEPBY	unreviewed	NMT1/THI5 like domain-containing protein	NIES2135_50050	Leptolyngbya boryana NIES-2135	331		
A0A1Z4JQC6	A0A1Z4JQC6	A0A1Z4JQC6_LEPBY	unreviewed	Cell division protein SepF	sepF NIES2135_57310	Leptolyngbya boryana NIES-2135	200	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A1Z4LLM5	A0A1Z4LLM5	A0A1Z4LLM5_9CYAN	unreviewed	High light inducible protein	NIES267_16260	Calothrix parasitica NIES-267	67		
A0A1Z4PNV4	A0A1Z4PNV4	A0A1Z4PNV4_9CYAN	unreviewed	Uncharacterized protein	NIES4073_05090	Scytonema sp. NIES-4073	838		
A0A1Z4Q2R9	A0A1Z4Q2R9	A0A1Z4Q2R9_9CYAN	unreviewed	Beta-Ig-H3/fasciclin	NIES4073_54180	Scytonema sp. NIES-4073	139		
A0A1Z4QND3	A0A1Z4QND3	A0A1Z4QND3_9NOST	unreviewed	Cell division protein SepF	sepF NIES4074_41510	Cylindrospermum sp. NIES-4074	197	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A1Z4S875	A0A1Z4S875	A0A1Z4S875_9NOSO	unreviewed	Cell division protein SepF	sepF NIES4103_35520	Nostoc sp. NIES-4103	199	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A1Z4VHV9	A0A1Z4VHV9	A0A1Z4VHV9_9CYAN	unreviewed	Carbohydrate-selective porin OprB	NIES932_23240	Raphidiopsis curvata NIES-932	567	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A200HCT7	A0A200HCT7	A0A200HCT7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES BHE97_07485	Aeromicrobium sp. PE09-221	97	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A202BYG1	A0A202BYG1	A0A202BYG1_9FLAO	unreviewed	Fasciclin	B0E34_13485	Chryseobacterium mucoviscidosis	189		
A0A212U9E4	A0A212U9E4	A0A212U9E4_9BACT	unreviewed	TonB-linked outer membrane protein, SusC/RagA family	SAMN06265337_2608	Hymenobacter gelipurpurascens	1086	GO:0009279	cell outer membrane [GO:0009279]
A0A218Q6H0	A0A218Q6H0	A0A218Q6H0_9CYAN	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB NIES3585_34980	Nodularia sp. NIES-3585	688	GO:0000287; GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A218QU72	A0A218QU72	A0A218QU72_9CYAN	unreviewed	Carbohydrate-selective porin OprB	NIES4075_65220	Tolypothrix sp. NIES-4075	570	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A223D5U2	A0A223D5U2	A0A223D5U2_9BACL	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CIG75_18740	Tumebacillus algifaecis	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A223NUL7	A0A223NUL7	A0A223NUL7_9SPHI	unreviewed	RagB/SusD family nutrient uptake outer membrane protein	MuYL_1661	Mucilaginibacter xinganensis	619	GO:0009279	cell outer membrane [GO:0009279]
A0A226WR03	A0A226WR03	A0A226WR03_9BURK	unreviewed	Putative erythritol ABC transporter 2, substrate-binding component	BSU04_36085	Caballeronia sordidicola	320		
A0A235IZ84	A0A235IZ84	A0A235IZ84_9NOSO	unreviewed	Uncharacterized protein	CDG79_19190	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	179	GO:0016021	integral component of membrane [GO:0016021]
A0A239A7D7	A0A239A7D7	A0A239A7D7_9ACTN	unreviewed	Uncharacterized protein	SAMN06265355_108219	Actinomadura mexicana	520	GO:0016021	integral component of membrane [GO:0016021]
A0A239CSW9	A0A239CSW9	A0A239CSW9_9BACT	unreviewed	Outer membrane protein OmpA	SAMN05421770_10178	Granulicella rosea	518	GO:0009279; GO:0016021	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]
A0A239CTP0	A0A239CTP0	A0A239CTP0_9BACT	unreviewed	Protein CcmA, bactofilin family	SAMN05421770_10197	Granulicella rosea	172		
A0A239MBW2	A0A239MBW2	A0A239MBW2_9BACT	unreviewed	Cold-shock DNA-binding protein family	SAMN05421770_11173	Granulicella rosea	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A239PEC0	A0A239PEC0	A0A239PEC0_9ACTN	unreviewed	Uncharacterized protein	SAMN05421812_12274	Asanoa hainanensis	553	GO:0016021	integral component of membrane [GO:0016021]
A0A246KVS9	A0A246KVS9	A0A246KVS9_9GAMM	unreviewed	Hydroxyacid dehydrogenase	CEE55_16205	Stenotrophomonas pavanii	352	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A249JX72	A0A249JX72	A0A249JX72_9ACTN	unreviewed	Cold shock protein (Beta-ribbon, CspA family)	B1s21122_02010	Candidatus Nanopelagicus limnes	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A249K8F8	A0A249K8F8	A0A249K8F8_9ACTN	unreviewed	Cold shock protein (Beta-ribbon, CspA family)	B1s21160_01720	Candidatus Nanopelagicus hibericus	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A249L3H4	A0A249L3H4	A0A249L3H4_9ACTN	unreviewed	Cold shock protein (Beta-ribbon, CspA family)	B1sIIB91_01690	Candidatus Nanopelagicus abundans	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A249SUE1	A0A249SUE1	A0A249SUE1_9BACT	unreviewed	TonB-dependent receptor	CK934_10050	Chitinophaga sp. MD30	1081		
A0A251WLK8	A0A251WLK8	A0A251WLK8_9CYAN	unreviewed	Transporter	B0A82_01660	Alkalinema sp. CACIAM 70d	155		
A0A252D026	A0A252D026	A0A252D026_9NOSO	unreviewed	NADP-dependent oxidoreductase	BV372_32310	Nostoc sp. T09	339	GO:0016491	oxidoreductase activity [GO:0016491]
A0A257KJT1	A0A257KJT1	A0A257KJT1_9BRAD	unreviewed	Porin	CFE29_22770	Bradyrhizobiaceae bacterium PARB1	497	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A258H8D1	A0A258H8D1	A0A258H8D1_9SPHN	unreviewed	Nex18 symbiotically induced protein	B7Y97_00160	Sphingomonas sp. 32-66-10	141		
A0A258R6R8	A0A258R6R8	A0A258R6R8_9BURK	unreviewed	Branched chain amino acid ABC transporter substrate-binding protein	B7Y51_08260	Burkholderiales bacterium 28-67-8	380	GO:0006865	amino acid transport [GO:0006865]
A0A258RB06	A0A258RB06	A0A258RB06_9BURK	unreviewed	RNA-binding protein	B7Y51_04820	Burkholderiales bacterium 28-67-8	172	GO:0003676	nucleic acid binding [GO:0003676]
