"","Accession","n","Protein.Group","Description","codes","K2","K4","B1","B2","B3","B5","B6","K3","K5","B4","K1"
"107","tr|A0A1H0WUC7|A0A1H0WUC7_9SPHI",3,1994,"OmpA-OmpF porin  OOP family OS=Mucilaginibacter sp. OK268 OX=1881048 GN=SAMN05428975_3912 PE=4 SV=1",1881048,NA,NA,NA,NA,NA,2,4,NA,NA,6,NA
"108","tr|A0A1H2S568|A0A1H2S568_9RHOB",2,1604,"30S ribosomal protein S19 OS=Sulfitobacter pontiacus OX=60137 GN=rpsS PE=3 SV=1",60137,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"109","tr|A0A1H4K5K6|A0A1H4K5K6_9BACT",2,2611,"Threonine dehydrogenase OS=Terriglobus roseus OX=392734 GN=SAMN05443244_1020 PE=4 SV=1",392734,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA
"110","tr|A0A1H9GR64|A0A1H9GR64_9PSEU",2,1947,"Uncharacterized protein OS=Lentzea albida OX=65499 GN=SAMN04488000_103239 PE=4 SV=1",65499,NA,NA,NA,NA,NA,3,NA,10,NA,NA,NA
"111","tr|A0A1I1P311|A0A1I1P311_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. DSM 18164 OX=1881058 GN=rpsS PE=3 SV=1",1881058,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"112","tr|A0A1I3RWB9|A0A1I3RWB9_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia pohangensis OX=390807 GN=rpsS PE=3 SV=1",390807,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"113","tr|A0A1I4GRT2|A0A1I4GRT2_9PROT",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Nitrosomonas aestuarii OX=52441 GN=rpoC PE=3 SV=1",52441,3,6,NA,4,NA,NA,NA,NA,NA,NA,NA
"114","tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT",4,1275,"TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1",1227077,NA,NA,NA,NA,2,6,11,NA,NA,6,NA
"115","tr|A0A1I6MDK2|A0A1I6MDK2_9BACT",5,963,"TonB-dependent Receptor Plug Domain OS=Granulicella pectinivorans OX=474950 GN=SAMN05421771_2368 PE=4 SV=1",474950,NA,NA,3,NA,7,4,12,NA,NA,8,NA
"116","tr|A0A1I6MZV6|A0A1I6MZV6_9BACT",4,1381,"Cold-shock DNA-binding protein family OS=Granulicella pectinivorans OX=474950 GN=SAMN05421771_4053 PE=4 SV=1",474950,NA,NA,4,NA,6,9,4,NA,NA,NA,NA
"117","tr|A0A1I6XLN6|A0A1I6XLN6_9GAMM",2,2461,"Uncaracterized surface protein containing fasciclin (FAS1) repeats OS=Pseudoalteromonas sp. DSM 26666 OX=1761892 GN=SAMN04487870_0256 PE=4 SV=1",1761892,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"118","tr|A0A1J1LRW1|A0A1J1LRW1_9CYAN",3,2845,"UDP-glucuronate decarboxylase OS=Planktothrix tepida PCC 9214 OX=671072 GN=PL9214650381 PE=3 SV=1",671072,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"119","tr|A0A1J1LT69|A0A1J1LT69_9CYAN",2,3048,"Putative RuBisCO transcriptional regulator OS=Planktothrix tepida PCC 9214 OX=671072 GN=rbcR PE=3 SV=1",671072,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","tr|A0A1J5QWQ0|A0A1J5QWQ0_9ZZZZ",4,1668,"Multiple sugar-binding periplasmic receptor ChvE OS=mine drainage metagenome OX=410659 GN=chvE_1 PE=4 SV=1",410659,NA,NA,NA,NA,3,5,6,NA,NA,5,NA
"121","tr|A0A1L9QQ97|A0A1L9QQ97_9CYAN",3,2018,"Uncharacterized protein OS=Roseofilum reptotaenium AO1-A OX=1925591 GN=BI308_14745 PE=4 SV=1",1925591,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"122","tr|A0A1M3PFE5|A0A1M3PFE5_9PROT",6,1189,"Superoxide dismutase OS=Rhodospirillales bacterium 70-18 OX=1895826 GN=BGP12_18950 PE=3 SV=1",1895826,NA,NA,6,4,5,4,6,NA,NA,3,NA
"123","tr|A0A1M5A620|A0A1M5A620_9RHIZ",3,2113,"Inositol transport system substrate-binding protein OS=Kaistia soli DSM 19436 OX=1122133 GN=SAMN02745157_2026 PE=4 SV=1",1122133,NA,2,NA,NA,NA,6,NA,NA,NA,2,NA
"124","tr|A0A1M7TLD9|A0A1M7TLD9_9RHOB",2,1604,"30S ribosomal protein S19 OS=Oceanicella actignis OX=1189325 GN=rpsS PE=3 SV=1",1189325,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"125","tr|A0A1N6G5Y4|A0A1N6G5Y4_9BURK",2,2990,"Monosaccharide ABC transporter substrate-binding protein  CUT2 family OS=Paraburkholderia phenazinium OX=60549 GN=SAMN05444165_0583 PE=4 SV=1",60549,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"126","tr|A0A1N7DB13|A0A1N7DB13_9SPHI",3,1994,"OmpA-OmpF porin  OOP family OS=Mucilaginibacter lappiensis OX=354630 GN=SAMN05421821_11120 PE=4 SV=1",354630,NA,NA,NA,NA,NA,2,4,NA,NA,6,NA
"127","tr|A0A1N7MP93|A0A1N7MP93_9RHOB",2,1604,"30S ribosomal protein S19 OS=Gemmobacter megaterium OX=1086013 GN=rpsS PE=3 SV=1",1086013,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"128","tr|A0A1Q3QQP8|A0A1Q3QQP8_9BACT",3,2149,"Uncharacterized protein OS=Acidobacteriales bacterium 59-55 OX=1895690 GN=BGO25_19250 PE=4 SV=1",1895690,NA,NA,NA,NA,NA,2,2,NA,NA,8,NA
"129","tr|A0A1Q3QU28|A0A1Q3QU28_9BACT",4,1381,"Cold-shock protein OS=Acidobacteriales bacterium 59-55 OX=1895690 GN=BGO25_07570 PE=4 SV=1",1895690,NA,NA,4,NA,6,9,4,NA,NA,NA,NA
"130","tr|A0A1Q4AWD3|A0A1Q4AWD3_9MICO",7,1646,"Cold-shock protein OS=Micrococcales bacterium 70-64 OX=1895789 GN=BGO97_14890 PE=4 SV=1",1895789,NA,NA,2,NA,2,4,2,2,2,NA,3
"131","tr|A0A1Q4E8F9|A0A1Q4E8F9_9SPHN",2,2708,"DUF3597 domain-containing protein OS=Sphingomonas sp. 67-41 OX=1895850 GN=BGP17_04715 PE=4 SV=1",1895850,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"132","tr|A0A1Q6Y8N4|A0A1Q6Y8N4_9CHLR",2,2649,"Dihydroxyacetone kinase subunit DhaK OS=Ktedonobacter sp. 13_2_20CM_53_11 OX=1805233 GN=AUH05_16755 PE=4 SV=1",1805233,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA
"133","tr|A0A1Q8Z7N5|A0A1Q8Z7N5_9CYAN",2,2868,"DNA-directed RNA polymerase subunit alpha OS=Leptolyngbya sp. 'hensonii' OX=1922337 GN=rpoA PE=3 SV=1",1922337,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"134","tr|A0A1Q8Z933|A0A1Q8Z933_9CYAN",2,2928,"Chaperone protein DnaK OS=Leptolyngbya sp. 'hensonii' OX=1922337 GN=dnaK PE=2 SV=1",1922337,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"135","tr|A0A1S6PVI2|A0A1S6PVI2_9PHYC",2,2630,"Major capsid protein OS=Prymnesium parvum DNA virus BW1 OX=1962447 PE=4 SV=1",1962447,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA
"136","tr|A0A1T2BAZ0|A0A1T2BAZ0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thioclava sp. DLFJ5-1 OX=1915314 GN=rpsS PE=3 SV=1",1915314,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"137","tr|A0A1U7HAQ7|A0A1U7HAQ7_9CHRO",5,1400,"ATP-dependent zinc metalloprotease FtsH OS=Chroogloeocystis siderophila 5.2 s.c.1 OX=247279 GN=ftsH PE=3 SV=1",247279,7,5,NA,NA,NA,NA,NA,4,2,NA,2
"138","tr|A0A1U7HV10|A0A1U7HV10_9CHRO",4,320,"Phycocyanin subunit beta OS=Chroogloeocystis siderophila 5.2 s.c.1 OX=247279 GN=NIES1031_09065 PE=3 SV=1",247279,42,38,NA,NA,NA,NA,NA,NA,4,NA,19
"139","tr|A0A1U7HZN4|A0A1U7HZN4_9CHRO",7,1133,"Carbon dioxide-concentrating protein CcmK OS=Chroogloeocystis siderophila 5.2 s.c.1 OX=247279 GN=NIES1031_00490 PE=3 SV=1",247279,5,3,2,8,6,NA,2,3,NA,NA,NA
"140","tr|A0A1U7J2T5|A0A1U7J2T5_9CYAN",5,1744,"30S ribosomal protein S19 OS=Phormidium tenue NIES-30 OX=549789 GN=rpsS PE=3 SV=1",549789,2,3,3,3,7,NA,NA,NA,NA,NA,NA
"141","tr|A0A1V9F312|A0A1V9F312_9BACT",4,1772,"Uncharacterized protein OS=Niastella yeongjuensis OX=354355 GN=A4H97_24135 PE=4 SV=1",354355,NA,NA,3,5,4,4,NA,NA,NA,NA,NA
"142","tr|A0A1X7DIP4|A0A1X7DIP4_9ACTN",4,2205,"Elongation factor Tu OS=Streptomyces sp. Amel2xC10 OX=1305826 GN=tuf PE=3 SV=1",1305826,4,3,NA,NA,NA,2,NA,2,NA,NA,NA
"143","tr|A0A1Y0RGE7|A0A1Y0RGE7_9CYAN",2,2318,"NADPH-protochlorophyllide oxidoreductase OS=Nostocales cyanobacterium HT-58-2 OX=1940762 GN=BZZ01_05175 PE=3 SV=1",1940762,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","tr|A0A1Y2QJ72|A0A1Y2QJ72_9SPHN",2,2708,"DUF3597 domain-containing protein OS=Sphingomonas sp. IBVSS2 OX=1985172 GN=CAP40_07375 PE=4 SV=1",1985172,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"145","tr|A0A1Y3LS94|A0A1Y3LS94_9MICC",6,289,"Cobalamin adenosyltransferase OS=Arthrobacter agilis OX=37921 GN=B8W73_12030 PE=4 SV=1",37921,NA,NA,16,5,19,16,29,NA,NA,26,NA
"146","tr|A0A1Z3HQM9|A0A1Z3HQM9_9CYAN",3,2612,"Phage shock protein A OS=Halomicronema hongdechloris C2206 OX=1641165 GN=XM38_035200 PE=3 SV=1",1641165,3,NA,NA,2,NA,2,NA,NA,NA,NA,NA
"147","tr|A0A1Z4GAX3|A0A1Z4GAX3_9CYAN",3,560,"Phycoerythrocyanin beta chain OS=Anabaenopsis circularis NIES-21 OX=1085406 GN=pecB PE=3 SV=1",1085406,25,24,NA,NA,NA,NA,NA,NA,6,NA,NA
"148","tr|A0A1Z4IRL3|A0A1Z4IRL3_9CYAN",3,1142,"Two component transcriptional regulator OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_22340 PE=4 SV=1",1137095,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"149","tr|A0A1Z4IV34|A0A1Z4IV34_9CYAN",2,3048,"Transcriptional regulator  RbcR homolog OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_34660 PE=3 SV=1",1137095,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","tr|A0A1Z4IVG8|A0A1Z4IVG8_9CYAN",4,1101,"Microcompartment protein OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_36510 PE=3 SV=1",1137095,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"151","tr|A0A1Z4IWW0|A0A1Z4IWW0_9CYAN",3,2271,"Bicarbonate transport bicarbonate-binding protein CmpA OS=Scytonema sp. HK-05 OX=1137095 GN=cmpA PE=4 SV=1",1137095,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA
"152","tr|A0A1Z4J4K7|A0A1Z4J4K7_9CYAN",2,2410,"Transketolase OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_68340 PE=3 SV=1",1137095,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","tr|A0A1Z4JAD5|A0A1Z4JAD5_LEPBY",5,1279,"LuxR family transcriptional regulator OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_02020 PE=4 SV=1",1973484,6,9,3,4,3,NA,NA,NA,NA,NA,NA
"154","tr|A0A1Z4JAX7|A0A1Z4JAX7_LEPBY",3,1142,"Two component transcriptional regulator OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_06300 PE=4 SV=1",1973484,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"155","tr|A0A1Z4JFQ4|A0A1Z4JFQ4_LEPBY",9,297,"Carbohydrate-selective porin OprB OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_23850 PE=3 SV=1",1973484,2,7,11,25,30,12,11,2,2,NA,NA
"156","tr|A0A1Z4JH59|A0A1Z4JH59_LEPBY",3,2018,"Uncharacterized protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_29350 PE=4 SV=1",1973484,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"157","tr|A0A1Z4JJX2|A0A1Z4JJX2_LEPBY",3,1962,"Phycobilisome linker polypeptide OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_39160 PE=3 SV=1",1973484,6,3,NA,NA,NA,NA,NA,NA,6,NA,NA
"158","tr|A0A1Z4JKR1|A0A1Z4JKR1_LEPBY",5,1330,"Rhodanese domain-containing protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_41890 PE=4 SV=1",1973484,9,5,3,NA,3,3,NA,NA,NA,NA,NA
"159","tr|A0A1Z4JQA9|A0A1Z4JQA9_LEPBY",2,2756,"Nitrogen-responsive regulatory protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_57870 PE=4 SV=1",1973484,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"160","tr|A0A1Z4KC15|A0A1Z4KC15_9CYAN",2,2007,"Peptidase S8/S53 OS=Calothrix brevissima NIES-22 OX=1973478 GN=NIES22_66650 PE=4 SV=1",1973478,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","tr|A0A1Z4KJ91|A0A1Z4KJ91_ANAVA",5,1491,"Nucleoside diphosphate kinase OS=Trichormus variabilis NIES-23 OX=1973479 GN=ndk PE=3 SV=1",1973479,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"162","tr|A0A1Z4KZX7|A0A1Z4KZX7_NOSLI",2,2654,"Glutaredoxin family protein OS=Nostoc linckia NIES-25 OX=1091006 GN=NIES25_09950 PE=4 SV=1",1091006,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"163","tr|A0A1Z4Q2V4|A0A1Z4Q2V4_9CYAN",3,2271,"Bicarbonate transport bicarbonate-binding protein CmpA OS=Scytonema sp. NIES-4073 OX=2005464 GN=cmpA PE=4 SV=1",2005464,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA
"164","tr|A0A1Z4Q7A7|A0A1Z4Q7A7_9CYAN",4,1101,"Microcompartment protein OS=Scytonema sp. NIES-4073 OX=2005464 GN=NIES4073_70130 PE=3 SV=1",2005464,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"165","tr|A0A1Z4QDE6|A0A1Z4QDE6_9NOST",5,1491,"Nucleoside diphosphate kinase OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=ndk PE=3 SV=1",2005457,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"166","tr|A0A1Z4QFX4|A0A1Z4QFX4_9NOST",3,1142,"Two component transcriptional regulator OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=NIES4074_15570 PE=4 SV=1",2005457,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"167","tr|A0A1Z4QQK5|A0A1Z4QQK5_9NOST",5,1797,"30S ribosomal protein S5 OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=rpsE PE=3 SV=1",2005457,4,3,4,2,4,NA,NA,NA,NA,NA,NA
"168","tr|A0A1Z4QQL7|A0A1Z4QQL7_9NOST",4,2059,"Translation initiation factor IF-1 OS=Cylindrospermum sp. NIES-4074 OX=2005457 GN=infA PE=3 SV=1",2005457,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"169","tr|A0A1Z4SA29|A0A1Z4SA29_9NOSO",3,2309,"Phycobilisome linker polypeptide OS=Nostoc sp. NIES-4103 OX=2005458 GN=NIES4103_42320 PE=3 SV=1",2005458,3,4,NA,NA,NA,NA,NA,NA,4,NA,NA
"170","tr|A0A1Z4SCH9|A0A1Z4SCH9_9NOSO",8,519,"Chaperone protein DnaK OS=Nostoc sp. NIES-4103 OX=2005458 GN=dnaK PE=2 SV=1",2005458,8,14,7,12,5,5,5,2,NA,NA,NA
"171","tr|A0A1Z4SCJ3|A0A1Z4SCJ3_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. NIES-4103 OX=2005458 GN=ndk PE=3 SV=1",2005458,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"172","tr|A0A1Z4SD03|A0A1Z4SD03_9NOSO",4,2059,"Translation initiation factor IF-1 OS=Nostoc sp. NIES-4103 OX=2005458 GN=infA PE=3 SV=1",2005458,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"173","tr|A0A1Z4SEX2|A0A1Z4SEX2_9NOSO",3,1142,"Two-component response regulator OS=Nostoc sp. NIES-4103 OX=2005458 GN=ycf27 PE=4 SV=1",2005458,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"174","tr|A0A1Z4TJZ6|A0A1Z4TJZ6_9CYAN",4,1101,"Microcompartment protein OS=Fischerella sp. NIES-4106 OX=2005456 GN=NIES4106_20460 PE=3 SV=1",2005456,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"175","tr|A0A1Z4V5A8|A0A1Z4V5A8_9CYAN",4,1101,"Microcompartment protein OS=Dolichospermum compactum NIES-806 OX=1973481 GN=NIES806_27420 PE=3 SV=1",1973481,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"176","tr|A0A1Z4VDC4|A0A1Z4VDC4_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Raphidiopsis curvata NIES-932 OX=1973482 GN=infA PE=3 SV=1",1973482,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"177","tr|A0A1Z4VE81|A0A1Z4VE81_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Raphidiopsis curvata NIES-932 OX=1973482 GN=rpoC1 PE=3 SV=1",1973482,10,8,NA,6,NA,NA,NA,NA,NA,NA,NA
"178","tr|A0A218Q2X8|A0A218Q2X8_9CYAN",2,3048,"Transcriptional regulator  RbcR homolog OS=Nodularia sp. NIES-3585 OX=1973477 GN=NIES3585_22270 PE=3 SV=1",1973477,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","tr|A0A218Q6H0|A0A218Q6H0_9CYAN",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Nodularia sp. NIES-3585 OX=1973477 GN=kdpB PE=3 SV=1",1973477,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"180","tr|A0A218QC51|A0A218QC51_9CYAN",4,1101,"Microcompartment protein OS=Tolypothrix sp. NIES-4075 OX=2005459 GN=NIES4075_04270 PE=3 SV=1",2005459,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"181","tr|A0A218QJR2|A0A218QJR2_9CYAN",4,1477,"Photosystem I reaction center subunit II OS=Tolypothrix sp. NIES-4075 OX=2005459 GN=NIES4075_30040 PE=3 SV=1",2005459,8,7,3,NA,2,NA,NA,NA,NA,NA,NA
"182","tr|A0A223NUL7|A0A223NUL7_9SPHI",2,2849,"RagB/SusD family nutrient uptake outer membrane protein OS=Mucilaginibacter xinganensis OX=1234841 GN=MuYL_1661 PE=3 SV=1",1234841,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA
"183","tr|A0A226WR03|A0A226WR03_9BURK",2,2990,"Putative erythritol ABC transporter 2  substrate-binding component OS=Caballeronia sordidicola OX=196367 GN=BSU04_36085 PE=4 SV=1",196367,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"184","tr|A0A228QL57|A0A228QL57_9BURK",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Burkholderia sp. HI2761 OX=2015360 GN=rpoC PE=3 SV=1",2015360,3,6,NA,4,NA,NA,NA,NA,NA,NA,NA
"185","tr|A0A235IJ65|A0A235IJ65_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. 'Peltigera membranacea cyanobiont' 210A OX=2014529 GN=ndk PE=3 SV=1",2014529,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"186","tr|A0A235IR11|A0A235IR11_9NOSO",2,2007,"Uncharacterized protein OS=Nostoc sp. 'Peltigera membranacea cyanobiont' 232 OX=2014531 GN=CDG79_34815 PE=4 SV=1",2014531,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","tr|A0A235IZ84|A0A235IZ84_9NOSO",2,2435,"Uncharacterized protein OS=Nostoc sp. 'Peltigera membranacea cyanobiont' 232 OX=2014531 GN=CDG79_19190 PE=4 SV=1",2014531,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"188","tr|A0A239CSW9|A0A239CSW9_9BACT",4,1865,"Outer membrane protein OmpA OS=Granulicella rosea OX=474952 GN=SAMN05421770_10178 PE=4 SV=1",474952,NA,NA,2,NA,3,4,6,NA,NA,NA,NA
"189","tr|A0A239CTP0|A0A239CTP0_9BACT",5,1534,"Protein CcmA  bactofilin family OS=Granulicella rosea OX=474952 GN=SAMN05421770_10197 PE=4 SV=1",474952,NA,NA,5,NA,2,2,9,NA,NA,3,NA
"190","tr|A0A239MBW2|A0A239MBW2_9BACT",4,1381,"Cold-shock DNA-binding protein family OS=Granulicella rosea OX=474952 GN=SAMN05421770_11173 PE=4 SV=1",474952,NA,NA,4,NA,6,9,4,NA,NA,NA,NA
"191","tr|A0A249JX72|A0A249JX72_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus limnes OX=1884634 GN=B1s21122_02010 PE=4 SV=1",1884634,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"192","tr|A0A249K8F8|A0A249K8F8_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus hibericus OX=1884915 GN=B1s21160_01720 PE=4 SV=1",1884915,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"193","tr|A0A249L3H4|A0A249L3H4_9ACTN",4,1689,"Cold shock protein (Beta-ribbon  CspA family) OS=Candidatus Nanopelagicus abundans OX=1884916 GN=B1sIIB91_01690 PE=4 SV=1",1884916,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"194","tr|A0A250XAZ7|A0A250XAZ7_9CHLO",2,2798,"Elongation factor Tu  chloroplastic OS=Chlamydomonas eustigma OX=1157962 GN=CEUSTIGMA_g7689.t1 PE=3 SV=1",1157962,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"195","tr|A0A251WLK8|A0A251WLK8_9CYAN",3,2299,"Transporter OS=Alkalinema sp. CACIAM 70d OX=1934309 GN=B0A82_01660 PE=4 SV=1",1934309,NA,NA,5,3,3,NA,NA,NA,NA,NA,NA
"196","tr|A0A252D026|A0A252D026_9NOSO",3,2283,"NADP-dependent oxidoreductase OS=Nostoc sp. T09 OX=1932621 GN=BV372_32310 PE=4 SV=1",1932621,NA,NA,2,6,3,NA,NA,NA,NA,NA,NA
"197","tr|A0A252DTU1|A0A252DTU1_9NOSO",3,729,"Phycocyanin subunit beta OS=Nostoc sp. RF31YmG OX=1932668 GN=BV378_02765 PE=3 SV=1",1932668,18,21,NA,NA,NA,NA,NA,NA,6,NA,NA
"198","tr|A0A258H8D1|A0A258H8D1_9SPHN",3,1876,"Nex18 symbiotically induced protein OS=Sphingomonas sp. 32-66-10 OX=1970437 GN=B7Y97_00160 PE=4 SV=1",1970437,NA,NA,7,4,3,NA,NA,NA,NA,NA,NA
"199","tr|A0A258HIW2|A0A258HIW2_9MICO",5,1265,"Cold-shock protein OS=Micrococcales bacterium 32-70-13 OX=1970540 GN=B7Y93_04065 PE=4 SV=1",1970540,5,7,NA,NA,NA,NA,NA,7,5,NA,2
"200","tr|A0A259MK25|A0A259MK25_9PROT",8,429,"Fasciclin OS=Rhodospirillales bacterium 39-66-50 OX=1970570 GN=B7X63_15405 PE=4 SV=1",1970570,2,2,16,8,18,9,11,NA,NA,7,NA
"201","tr|A0A261KV94|A0A261KV94_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Hydrocoleum sp. CS-953 OX=1671698 GN=infA PE=3 SV=1",1671698,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"202","tr|A0A290SDP7|A0A290SDP7_9GAMM",2,2461,"FAS1 domain-containing protein OS=Pseudoalteromonas issachenkonii OX=152297 GN=PISS_a1869 PE=4 SV=1",152297,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"203","tr|A0A290TG38|A0A290TG38_9GAMM",2,2461,"FAS1 domain-containing protein OS=Pseudoalteromonas tetraodonis OX=43659 GN=PTET_a1935 PE=4 SV=1",43659,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"204","tr|A0A2A2TK42|A0A2A2TK42_9CYAN",2,3048,"LysR family transcriptional regulator OS=Calothrix elsteri CCALA 953 OX=987040 GN=CK510_10915 PE=3 SV=1",987040,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","tr|A0A2A2TMF8|A0A2A2TMF8_9CYAN",2,2435,"Uncharacterized protein OS=Calothrix elsteri CCALA 953 OX=987040 GN=CK510_06625 PE=4 SV=1",987040,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"206","tr|A0A2A2TPX3|A0A2A2TPX3_9CYAN",7,842,"Fasciclin OS=Calothrix elsteri CCALA 953 OX=987040 GN=CK510_01420 PE=4 SV=1",987040,6,6,6,4,7,5,3,NA,NA,NA,NA
"207","tr|A0A2E0L0L3|A0A2E0L0L3_9CHLR",4,1260,"60 kDa chaperonin OS=Anaerolineaceae bacterium OX=2024896 GN=groL PE=3 SV=1",2024896,2,NA,3,17,NA,NA,NA,NA,NA,2,NA
"208","tr|A0A2E2M2R3|A0A2E2M2R3_PSEAS",2,2461,"Fasciclin OS=Pseudoalteromonas sp. OX=53249 GN=CMK69_15800 PE=4 SV=1",53249,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"209","tr|A0A2E9T7D9|A0A2E9T7D9_9FLAO",2,2630,"Uncharacterized protein OS=Flavobacteriales bacterium OX=2021391 GN=CMD29_03265 PE=4 SV=1",2021391,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA
"210","tr|A0A2G1LXE8|A0A2G1LXE8_9SPHN",3,2608,"TonB-dependent receptor OS=Sphingobium sp. IP1 OX=2021637 GN=CG471_03130 PE=3 SV=1",2021637,NA,NA,NA,NA,NA,2,3,NA,NA,3,NA
"211","tr|A0A2G2EE68|A0A2G2EE68_COLSX",2,2461,"Fasciclin OS=Colwellia sp. OX=56799 GN=COA35_25890 PE=4 SV=1",56799,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"212","tr|A0A2G4EV59|A0A2G4EV59_9CYAN",7,794,"Beta-Ig-H3/fasciclin OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_021865 PE=4 SV=1",2040638,6,NA,11,8,9,3,2,2,NA,NA,NA
